DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
03/01/22,2020,20211098,39417,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,57.732,8.919,25.941,0,92.592,27.808,8.471,2.573,0,38.852,129.46,24.981,9.755,0.337,164.533,323.023,33.706,27.841,0.215,384.785,226.682,19.423,8.706,0,254.811,348.447,2.256,0.027,0,350.73,0.035,0,0,0,0.035,1.249,0.031,0,0,1.28,4.93,0.03,0.863,0,5.823,0,0,0.038,0,0.038,1119.366,97.817,75.744,0.552,1293.479,0,0,0,0,0,0,1119.366,97.817,75.744,0.552,1293.479
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,3.76,0,0.18,0,3.94,51.32,9.61,10.7,0,71.63,14.3,19.4,10.63,0,44.33,107.2,54.33,19.9,0,181.43,26.77,0.62,0,0,27.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.35,83.96,41.41,0,328.72,0,0,0,0,0,0,203.35,83.96,41.41,0,328.72
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.08,1.6,0.06,0,1.74,11.45,8.19,15.03,0,34.67,49.22,18.54,16.25,0,84.01,5.56,12.06,4.21,0,21.83,5.49,4.46,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8,44.85,35.55,0,152.2,0,0,0,0,0,0,71.8,44.85,35.55,0,152.2
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0.02,0.34,0.06,0.42,0.93,0.28,3.86,1.94,7.01,0.84,2.3,3.38,0.17,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,2.6,7.58,2.17,14.12,0,0,0,0,0,0,1.77,2.6,7.58,2.17,14.12
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.04,1.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.92,0,1.96,0,0,0,0,0,0,0,0.04,1.92,0,1.96
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,2.3,12.14,8.71,0,23.15,6.38,6.65,4.18,0,17.21,0.83,0.61,0.3,0,1.74,0.07,4.44,3.7,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,23.84,16.89,0,50.31,0,0,0,0,0,0,9.58,23.84,16.89,0,50.31
03/01/22,2020,20211305,39638,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0.71,1.19,4.5,0,6.4,26.94,16.61,28.59,0,72.14,8.33,1.96,1.05,0,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98,19.76,34.14,0,89.88,0,0,0,0,0,0,35.98,19.76,34.14,0,89.88
03/01/22,2020,20211294,39622,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,1.31,0.45,2.68,0,4.44,4.61,0.85,0.09,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,1.3,2.77,0,9.99,0,0,0,0,0,0,5.92,1.3,2.77,0,9.99
03/01/22,2020,20211306,39639,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0.53,0.24,5.41,0,6.18,4.35,4.82,2.68,0,11.85,0,0.01,0.02,0,0.03,0,1.07,2.97,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,6.14,11.08,0,22.1,0,0,0,0,0,0,4.88,6.14,11.08,0,22.1
03/01/22,2020,20211181,39501,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0.566,4.027,4.835,1.386,10.814,16.597,15.261,21.588,1.931,55.377,22.026,40.224,33.102,0,95.352,12.883,8.966,17.426,0,39.275,4.253,2.983,5.01,0,12.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.457,0,9.457,0,0,0,0,0,56.325,71.461,91.418,3.317,222.521,0,0,0,0,0,0,56.325,71.461,91.418,3.317,222.521
