DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQC1HCAA1,PARTQC1HCAA1INC,PARTQC1HCAA2,PARTQC1HCAA2INC,PARTQC1HCAA3,PARTQC1HCAA3INC,PARTQC1HCAA4,PARTQC1HCAA4INC,PARTQC1HCAC,PARTQC1HCACINC,PARTQC1HCAD,PARTQC1HCADINC,PARTQC1HCAOTH,PARTQC1HCAOTHINC,PARTQC1NHCAA1,PARTQC1NHCAA2,PARTQC1NHCAA3,PARTQC1NHCAA4,PARTQC1NHCAC,PARTQC1NHCAD,PARTQC1NHCAOTH,PARTQC2HCAA1,PARTQC2HCAA1INC,PARTQC2HCAA2,PARTQC2HCAA2INC,PARTQC2HCAA3,PARTQC2HCAA3INC,PARTQC2HCAA4,PARTQC2HCAA4INC,PARTQC2HCAC,PARTQC2HCACINC,PARTQC2HCAD,PARTQC2HCADINC,PARTQC2HCAOTH,PARTQC2HCAOTHINC,PARTQC2NHCAA1,PARTQC2NHCAA2,PARTQC2NHCAA3,PARTQC2NHCAA4,PARTQC2NHCAC,PARTQC2NHCAD,PARTQC2NHCAOTH,PARTQC3HCAA1,PARTQC3HCAA1INC,PARTQC3HCAA2,PARTQC3HCAA2INC,PARTQC3HCAA3,PARTQC3HCAA3INC,PARTQC3HCAA4,PARTQC3HCAA4INC,PARTQC3HCAC,PARTQC3HCACINC,PARTQC3HCAD,PARTQC3HCADINC,PARTQC3HCAOTH,PARTQC3HCAOTHINC,PARTQC3NHCAA1,PARTQC3NHCAA1INC,PARTQC3NHCAA2,PARTQC3NHCAA2INC,PARTQC3NHCAA3,PARTQC3NHCAA3INC,PARTQC3NHCAA4,PARTQC3NHCAA4INC,PARTQC3NHCAC,PARTQC3NHCACINC,PARTQC3NHCAD,PARTQC3NHCADINC,PARTQC3NHCAOTH,PARTQC3NHCAOTHINC,PARTQC4HCAA1,PARTQC4HCAA1INC,PARTQC4HCAA2,PARTQC4HCAA2INC,PARTQC4HCAA3,PARTQC4HCAA3INC,PARTQC4HCAA4,PARTQC4HCAA4INC,PARTQC4HCAC,PARTQC4HCACINC,PARTQC4HCAD,PARTQC4HCADINC,PARTQC4HCAOTH,PARTQC4HCAOTHINC,PARTQC4NHCAA1,PARTQC4NHCAA1INC,PARTQC4NHCAA2,PARTQC4NHCAA2INC,PARTQC4NHCAA3,PARTQC4NHCAA3INC,PARTQC4NHCAA4,PARTQC4NHCAA4INC,PARTQC4NHCAC,PARTQC4NHCACINC,PARTQC4NHCAD,PARTQC4NHCADINC,PARTQC4NHCAOTH,PARTQC4NHCAOTHINC,PARTQA1TOT,PARTQA1INCTOT,PARTQA2TOT,PARTQA2INCTOT,PARTQA3TOT,PARTQA3INCTOT,PARTQA4TOT,PARTQA4INCTOT,PARTQCTOT,PARTQCINCTOT,PARTQDTOT,PARTQDINCTOT,PARTQOTHTOT,PARTQOTHINCTOT,PARTQALLTOTAL,PARTQALLINCTOTAL,PARTQOTHC1HCA,PARTQOTHC1NOHCA,PARTQOTHC2HCA,PARTQOTHC2NOHCA,PARTQOTHC3HCA,PARTQOTHC3NOHCA,PARTQOTHC4HCA,PARTQOTHC4NOHCA
3/1/2022,2019,20200984,37682,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,5.186,0,0.102,0,0,0,0,0,0.039,0,0,0,0,0,679.954,294.063,0,38.642,102.188,0,0,4.619,0,0.216,0,0,0,0,0,0.658,0,0,0,0,0,33.46,46.264,0,1.465,10.305,0,0,8.539,0,3.326,0.265,0,0,0,0,2.894,0,0,0,0,0,10.72,0.078,41.763,0,0,0,0.841,0.71,7.339,0.058,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0.215,0.215,0.057,0,0,0,0,0,0,0,0,0,0,,742.693,0.293,386.07,0.265,0,0,40.948,0.71,123.423,0.058,0,0,0,0,1293.134,1.326,,,,,,,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,82.69,0,121.16,0,0,0,0,0,0.28,0,0,0,0.01,0,0,0,0,0,0,0,0,52.73,0,30.27,0,0,0,0,0,1.71,0,0,0,1.64,0,0,0,0,0,0,0,0,0,22.61,0,0,0,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,160.08,0,0,0,168.64,0,0,0,0,0,0,0,328.72,0,,,,,,,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0,0,0.02,0,0,0,0.14,0,0,0,0,0,0,0,0,52.75,0,19,0,0,0,0,0,0.12,0,0,0,0.75,0,0,0,0,0,0,0,0,23.07,0,19.66,0,0,0,0,0,1.52,0,0,0,5.31,0,0,0,0,0,0,0,0,0,12.91,0,0,0,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,90.39,0,0,0,61.84,0,0,0,0,0,0,0,152.23,0,,,,,,,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.93,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0.03,0,0,0,0,0,1.95,0,0,0,1.05,0,0,0,0,0,0,0,0,0,2.85,0,0,0,1.74,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.06,0,0,0,0,0,0,,0.58,0,10.41,0,0,0,3.14,0,0,0,0,0,0,0,14.13,0,,,,,,,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,2.04,0,,,,,,,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,2.9,0,20.38,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0.37,0,0.31,0,0,0,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.54,0,3.67,0,0,0,45.12,0,0,0,0,0,0,0,50.33,0,,,,,,,,
3/1/2022,2019,20200892,37587,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,34.25,0,0,0,0.06,0,0,0,0,0,0.08,0,0,0,0,0,0,0,2.65,0,0,16.75,0,0,0,0.54,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0.92,0,0,0,0,0,31.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.17,0,0,0,0,0,83.71,0,0,0,0,0,0,0,89.88,0,,,,,,,,
3/1/2022,2019,20200828,37520,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,,,,,,,,
3/1/2022,2019,20200891,37585,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,4.78,0,0,0,0,0,0.11,0,0,0,0.07,0,0,0,0,0,0,0,0,2.55,0,3.53,0,0,0,0,0,0.79,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2.97,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6.43,0,0,0,15.69,0,0,0,0,0,0,0,22.12,0,,,,,,,,
3/1/2022,2019,20201206,37911,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.648,45.285,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,2.52,65.069,0,0,0,0,0,0,0,22.512,1.076,0,0,0,0,0,0,0,0,0,0,3.693,0,67.819,3.098,0,0,0,0,0,0,0,0,0,0,0,0,1.078,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056,0,0,0,0,0,0,0,0,0,0,,18.861,0,205.109,4.174,0,0,0,0,0,0,0,0,0,0,223.97,4.174,,,,,,,,
