DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQC1HCAA1,PARTQC1HCAA1INC,PARTQC1HCAA2,PARTQC1HCAA2INC,PARTQC1HCAA3,PARTQC1HCAA3INC,PARTQC1HCAA4,PARTQC1HCAA4INC,PARTQC1HCAC,PARTQC1HCACINC,PARTQC1HCAD,PARTQC1HCADINC,PARTQC1HCAOTH,PARTQC1HCAOTHINC,PARTQC1NHCAA1,PARTQC1NHCAA2,PARTQC1NHCAA3,PARTQC1NHCAA4,PARTQC1NHCAC,PARTQC1NHCAD,PARTQC1NHCAOTH,PARTQC2HCAA1,PARTQC2HCAA1INC,PARTQC2HCAA2,PARTQC2HCAA2INC,PARTQC2HCAA3,PARTQC2HCAA3INC,PARTQC2HCAA4,PARTQC2HCAA4INC,PARTQC2HCAC,PARTQC2HCACINC,PARTQC2HCAD,PARTQC2HCADINC,PARTQC2HCAOTH,PARTQC2HCAOTHINC,PARTQC2NHCAA1,PARTQC2NHCAA2,PARTQC2NHCAA3,PARTQC2NHCAA4,PARTQC2NHCAC,PARTQC2NHCAD,PARTQC2NHCAOTH,PARTQC3HCAA1,PARTQC3HCAA1INC,PARTQC3HCAA2,PARTQC3HCAA2INC,PARTQC3HCAA3,PARTQC3HCAA3INC,PARTQC3HCAA4,PARTQC3HCAA4INC,PARTQC3HCAC,PARTQC3HCACINC,PARTQC3HCAD,PARTQC3HCADINC,PARTQC3HCAOTH,PARTQC3HCAOTHINC,PARTQC3NHCAA1,PARTQC3NHCAA1INC,PARTQC3NHCAA2,PARTQC3NHCAA2INC,PARTQC3NHCAA3,PARTQC3NHCAA3INC,PARTQC3NHCAA4,PARTQC3NHCAA4INC,PARTQC3NHCAC,PARTQC3NHCACINC,PARTQC3NHCAD,PARTQC3NHCADINC,PARTQC3NHCAOTH,PARTQC3NHCAOTHINC,PARTQC4HCAA1,PARTQC4HCAA1INC,PARTQC4HCAA2,PARTQC4HCAA2INC,PARTQC4HCAA3,PARTQC4HCAA3INC,PARTQC4HCAA4,PARTQC4HCAA4INC,PARTQC4HCAC,PARTQC4HCACINC,PARTQC4HCAD,PARTQC4HCADINC,PARTQC4HCAOTH,PARTQC4HCAOTHINC,PARTQC4NHCAA1,PARTQC4NHCAA1INC,PARTQC4NHCAA2,PARTQC4NHCAA2INC,PARTQC4NHCAA3,PARTQC4NHCAA3INC,PARTQC4NHCAA4,PARTQC4NHCAA4INC,PARTQC4NHCAC,PARTQC4NHCACINC,PARTQC4NHCAD,PARTQC4NHCADINC,PARTQC4NHCAOTH,PARTQC4NHCAOTHINC,PARTQA1TOT,PARTQA1INCTOT,PARTQA2TOT,PARTQA2INCTOT,PARTQA3TOT,PARTQA3INCTOT,PARTQA4TOT,PARTQA4INCTOT,PARTQCTOT,PARTQCINCTOT,PARTQDTOT,PARTQDINCTOT,PARTQOTHTOT,PARTQOTHINCTOT,PARTQALLTOTAL,PARTQALLINCTOTAL,PARTQOTHC1HCA,PARTQOTHC1NOHCA,PARTQOTHC2HCA,PARTQOTHC2NOHCA,PARTQOTHC3HCA,PARTQOTHC3NOHCA,PARTQOTHC4HCA,PARTQOTHC4NOHCA
3/1/2022,2018,20190377,35712,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,4.269,0,0.307,0,0,0,0,0,0,0,0,0,0,0,503.339,121.533,0,26.109,0,0,0,3.305,0,0.122,0,0,0,0,0,0.043,0,0,0,0,0,12.177,9.363,0,1.434,0.342,0,0,5.011,0,0.873,0,0,0,0,0,0.214,0,0,0,0,0,6.415,0,25.37,0.722,0,0,0,0,0.038,0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0.057,0,0,0,0,0,0,0,0,0,0,,534.727,0,157.904,0.722,0,0,27.543,0,0.637,0,0,0,0,0,720.811,0.722,,,,,,,,
3/1/2022,2018,20190613,35959,21,"ACACIA NATURAL GAS, L.L.C.",Natural Gas,INTRASTATE,TEXAS,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,94.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.599,0,0,0,0,0,0,1.593,0,0,0,0,0,0,0,0,0,0,0,0,0,2.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,122.789,0,0,0,0,0,0,0,0,0,0,0,0,0,122.789,0,,,,,,,,
3/1/2022,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.63,0,121.56,0,0,0,0,0,0.33,0,0,0,0.01,0,0,0,0,0,0,0,0,51.85,0,30.7,0,0,0,0,0,1.71,0,0,0,1.63,0,0,0,0,0,0,0,0,0,22.54,0,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,160.06,0,0,0,168.63,0,0,0,0,0,0,0,328.69,0,,,,,,,,
3/1/2022,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0,0,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,52.61,0,17.01,0,0,0,0,0,0.12,0,0,0,0.39,0,0,0,0,0,0,0,0,23.15,0,20.04,0,0,0,0,0,1.52,0,0,0,5.62,0,0,0,0,0,0,0,0,0,13.2,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,90.62,0,0,0,59.86,0,0,0,0,0,0,0,150.48,0,,,,,,,,
3/1/2022,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0.04,0,0,0,0,0,1.95,0,0,0,1.05,0,0,0,0,0,0,0,0,0,2.84,0,0,0,1.73,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.06,0,0,0,0,0,0,,0.84,0,10.4,0,0,0,2.88,0,0,0,0,0,0,0,14.12,0,,,,,,,,
3/1/2022,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,2.04,0,,,,,,,,
3/1/2022,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,2.9,0,20.37,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0.38,0,0.31,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.53,0,3.67,0,0,0,47.43,0,0,0,0,0,0,0,52.63,0,,,,,,,,
3/1/2022,2018,20190304,35625,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,34.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,16.85,0,0,0,0.6,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0.96,0,0,0,0,0,31.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.17,0,0,0,0,0,83.7,0,0,0,0,0,0,0,89.87,0,,,,,,,,
3/1/2022,2018,20190311,35644,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,,,,,,,,
3/1/2022,2018,20190308,35629,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,3.5,0,0,0,0,0,0.89,0,0,0,0.77,0,0,0,0,0,0,0,0,0,3,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6.41,0,0,0,16.03,0,0,0,0,0,0,0,22.44,0,,,,,,,,
