DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2019,20200984,37682,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,1120.174,96.986,75.421,0.552,1293.133,0,0,1120.174,96.986,75.421,0.552,1293.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.174,96.986,75.421,0.552,1293.133,25.857,,25.857
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,203.98,83.28,41.53,0,328.79,0,0,203.98,83.28,41.53,0,328.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.98,83.28,41.53,0,328.79,3.7,,3.7
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,71.92,43.59,36.71,0,152.22,0,0,71.92,43.59,36.71,0,152.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92,43.59,36.71,0,152.22,7.85,,7.85
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,1.76,2.6,7.58,2.17,14.11,0,0,1.76,2.6,7.58,2.17,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.6,7.58,2.17,14.11,4.93,,4.93
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.12,1.92,0,2.04,0,0,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.92,0,2.04,0,,0
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,9.01,24.45,16.86,0,50.32,0,0,9.01,24.45,16.86,0,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,24.45,16.86,0,50.32,0.73,,0.73
03/01/22,2019,20200892,37587,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,36.25,19.55,34.09,0,89.89,0,0,36.25,19.55,34.09,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.25,19.55,34.09,0,89.89,2,,2
03/01/22,2019,20200828,37520,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,5.94,1.27,2.77,0,9.98,0,0,5.94,1.27,2.77,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,1.27,2.77,0,9.98,0.63,,0.63
03/01/22,2019,20200891,37585,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,4.79,6.25,11.07,0,22.11,0,0,4.79,6.25,11.07,0,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,6.25,11.07,0,22.11,1.66,,1.66
03/01/22,2019,20201206,37911,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,57.932,69.882,94.023,2.133,223.97,0,0,57.932,69.882,94.023,2.133,223.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.932,69.882,94.023,2.133,223.97,25.88,,25.88
03/01/22,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,ALABAMA,162.158,2.531,73.256,0,237.945,0,0,162.158,2.531,73.256,0,237.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.158,2.531,73.256,0,237.945,20.89,,20.89
03/01/22,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,MISSISSIPPI,31.69,0,2.9,0,34.59,0,0,31.69,0,2.9,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.69,0,2.9,0,34.59,0.24,,0.24
03/01/22,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,TENNESSEE,20.855,0,1.51,0,22.365,0,0,20.855,0,1.51,0,22.365,,,,,,,,,,,,,,,,20.855,0,1.51,0,22.365,,,
03/01/22,2019,20200733,37419,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,216.649,64.241,106.535,0,387.425,0,0,216.649,64.241,106.535,0,387.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.649,64.241,106.535,0,387.425,39.093,,39.093
03/01/22,2019,20200939,37636,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0.11,0,0,0,0.11,0,0,0.11,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.11,,,
