DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2017,20187226,34453,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,654.036,27.691,37.93,0.337,719.994,0,0,654.036,27.691,37.93,0.337,719.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.036,27.691,37.93,0.337,719.994,14.273,,14.273
03/01/22,2017,20186788,33983,21,"ACACIA NATURAL GAS, L.L.C.",Natural Gas,INTRASTATE,TEXAS,94.44,24.633,3.7,0,122.773,0,0,94.44,24.633,3.7,0,122.773,0,0.61,0,0.61,0,0,0,0,0,0,0,0,0.61,0,0.61,94.44,24.633,4.31,0,123.383,1.39,,1.39
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,203.21,86.01,39.47,0,328.69,0,0,203.21,86.01,39.47,0,328.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.21,86.01,39.47,0,328.69,4.09,,4.09
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,69.63,42.37,38.14,0,150.14,0,0,69.63,42.37,38.14,0,150.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.63,42.37,38.14,0,150.14,7.5,,7.5
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,1.76,2.63,7.55,2.17,14.11,0,0,1.76,2.63,7.55,2.17,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.63,7.55,2.17,14.11,4.91,,4.91
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.12,1.92,0,2.04,,,0,0.12,1.92,0,2.04,,,,,,,,,,,,,,,,0,0.12,1.92,0,2.04,0,,0
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,11.77,23.85,17.09,0,52.71,0,0,11.77,23.85,17.09,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,23.85,17.09,0,52.71,0.95,,0.95
03/01/22,2017,20186896,34094,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,36.92,18.66,34.28,0,89.86,0,0,36.92,18.66,34.28,0,89.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,18.66,34.28,0,89.86,2.01,,2.01
03/01/22,2017,20186773,33965,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTRASTATE,LOUISIANA,5.91,1.31,2.77,0,9.99,0,0,5.91,1.31,2.77,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,1.31,2.77,0,9.99,0.82,,0.82
03/01/22,2017,20186775,34087,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,5.51,5.48,11.46,0,22.45,0,0,5.51,5.48,11.46,0,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,5.48,11.46,0,22.45,1.74,,1.74
