DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTRC1HCA125ABLE,PARTRC1HCA125NABLE,PARTRC1HCA12511ABLE,PARTRC1HCA12511NABLE,PARTRC1HCALESS11ABLE,PARTRC1HCALESS11NABLE,PARTRC2HCA125ABLE,PARTRC2HCA125NABLE,PARTRC2HCA12511ABLE,PARTRC2HCA12511NABLE,PARTRC2HCALESS11ABLE,PARTRC2HCALESS11NABLE,PARTRC3HCA125ABLE,PARTRC3HCA125NABLE,PARTRC3HCA12511ABLE,PARTRC3HCA12511NABLE,PARTRC3HCALESS11ABLE,PARTRC3HCALESS11NABLE,PARTRC4HCA125ABLE,PARTRC4HCA125NABLE,PARTRC4HCA12511ABLE,PARTRC4HCA12511NABLE,PARTRC4HCALESS11ABLE,PARTRC4HCALESS11NABLE,PARTRHCA125ABLETOT,PARTRHCA125NABLETOT,PARTRHCA12511ABLETOT,PARTRHCA12511NABLETOT,PARTRHCALESS11ABLETOT,PARTRHCALESS11NABLETOT,PARTRC1NHCA125ABLE,PARTRC1NHCA125NABLE,PARTRC1NHCA12511ABLE,PARTRC1NHCA12511NABLE,PARTRC1NHCALESS11ABLE,PARTRC1NHCALESS11NABLE,PARTRC2NHCA125ABLE,PARTRC2NHCA125NABLE,PARTRC2NHCA12511ABLE,PARTRC2NHCA12511NABLE,PARTRC2NHCALESS11ABLE,PARTRC2NHCALESS11NABLE,PARTRC3NHCA125ABLE,PARTRC3NHCA125NABLE,PARTRC3NHCA12511ABLE,PARTRC3NHCA12511NABLE,PARTRC3NHCALESS11ABLE,PARTRC3NHCALESS11NABLE,PARTRC4NHCA125ABLE,PARTRC4NHCA125NABLE,PARTRC4NHCA12511ABLE,PARTRC4NHCA12511NABLE,PARTRC4NHCALESS11ABLE,PARTRC4NHCALESS11NABLE,PARTRNHCA125ABLETOT,PARTRNHCA125NABLETOT,PARTRNHCA12511ABLETOT,PARTRNHCA12511NABLETOT,PARTRNHCALESS11ABLETOT,PARTRNHCALESS11NABLETOT,PARTR125ABLETOT,PARTR125NABLETOT,PARTR12511ABLETOT,PARTR12511NABLETOT,PARTRLESS11ABLETOT,PARTRLESS11NABLETOT,PARTRPT125TOT,PARTRPT12511TOT,PARTRPTLESS11TOT,PARTRTOTAL,PARTRINSPABLETOT,PARTRINSPNABLETOT,PARTPARTRINSPTOTAL
3/1/2022,2020,20211098,39417,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,5.069,0.046,0,0,0,0,4.163,1.344,0,0,0,0,10.491,3.253,0,0,0,0.915,0.279,0,0,0,0,0,20.002,4.643,0,0,0,0.915,660.88,228.358,30.802,33.818,34.96,125.435,35.552,46.053,1.357,0.08,0.126,9.142,43.341,11.94,0,0.115,0,5.643,0.057,0,0,0,0,0.215,739.83,286.351,32.159,34.013,35.086,140.435,759.832,290.994,32.159,34.013,35.086,141.35,1050.826,66.172,176.436,1293.434,827.077,466.357,1293.434
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0.06,0,0,0,0,0,0.28,0.01,0,0,0,0,1.95,1.4,0,0,0,0,0,0,0,0,0,0,2.29,1.41,0,0,0,0,140.59,62.69,0,0,0,0,58.58,25.03,0,0,0,0,30.01,8.05,0,0,0,0,0,0,0,0,0,0,229.18,95.77,0,0,0,0,231.47,97.18,0,0,0,0,328.65,0,0,328.65,231.47,97.18,328.65
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.02,0.03,0,0,0,0,0.12,0.49,0,0,0,0,2.72,4.01,0.27,0,0,0,0,0,0,0,0,0,2.86,4.53,0.27,0,0,0,56.15,14.32,1.27,0,0,0,28.44,13.88,1.93,0,0,0,19.7,8.7,0.17,0,0,0,0,0,0,0,0,0,104.29,36.9,3.37,0,0,0,107.15,41.43,3.64,0,0,0,148.58,3.64,0,152.22,110.79,41.43,152.22
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.05,0,0,0,0,1.94,0,0,0,0,0,3.89,1.05,0,0,0,0,0.26,1.51,0,0,0,0,1.74,0.86,0,0,0,0,1.51,3.08,0,0,0,0,0.23,0,0,0,0,0,3.74,5.45,0,0,0,0,7.63,6.5,0,0,0,0,14.13,0,0,14.13,7.63,6.5,14.13
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,2.04,0,0,0,0,2.04,0,0,2.04,0,2.04,2.04
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0.43,9.16,0,0,0,0,1.14,22.7,0,0,0,0,0.11,16.05,0,0,0,0,0,0,0,0,0,0,1.68,47.91,0,0,0,0,1.68,48.64,0,0,0,0,50.32,0,0,50.32,1.68,48.64,50.32
3/1/2022,2020,20211305,39638,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.92,0,0,0,0,0,0,0,0,0,0,0.92,0.92,0,0,0,0,26.64,9.34,0,0,0,0,10.11,9.64,0,0,0,0,19.04,13.27,0,0,0,0,0,0,0,0,0,0,55.79,32.25,0,0,0,0,56.71,33.17,0,0,0,0,89.88,0,0,89.88,56.71,33.17,89.88
3/1/2022,2020,20211294,39622,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,5.92,0,0,0,0,0,1.3,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,10,10
3/1/2022,2020,20211306,39639,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,4.88,0,0,0,0,0,6.15,0,0,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,20.67,0,0,0,0,0,22.11,0,0,0,0,22.11,0,0,22.11,0,22.11,22.11
3/1/2022,2020,20211181,39501,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0.298,1.991,0,0,0,0,1.316,20.715,0,0.511,0,0.876,0.875,1.078,0,0,0,0,2.489,23.784,0,0.511,0,0.876,21.713,14.09,0,0,0,20.525,22.259,42.825,0,0,0,4.088,5.639,53.847,0,3.037,0,5.476,0.305,1.056,0,0,0,0,49.916,111.818,0,3.037,0,30.089,52.405,135.602,0,3.548,0,30.965,188.007,3.548,30.965,222.52,52.405,170.115,222.52
