DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTRC1HCA125ABLE,PARTRC1HCA125NABLE,PARTRC1HCA12511ABLE,PARTRC1HCA12511NABLE,PARTRC1HCALESS11ABLE,PARTRC1HCALESS11NABLE,PARTRC2HCA125ABLE,PARTRC2HCA125NABLE,PARTRC2HCA12511ABLE,PARTRC2HCA12511NABLE,PARTRC2HCALESS11ABLE,PARTRC2HCALESS11NABLE,PARTRC3HCA125ABLE,PARTRC3HCA125NABLE,PARTRC3HCA12511ABLE,PARTRC3HCA12511NABLE,PARTRC3HCALESS11ABLE,PARTRC3HCALESS11NABLE,PARTRC4HCA125ABLE,PARTRC4HCA125NABLE,PARTRC4HCA12511ABLE,PARTRC4HCA12511NABLE,PARTRC4HCALESS11ABLE,PARTRC4HCALESS11NABLE,PARTRHCA125ABLETOT,PARTRHCA125NABLETOT,PARTRHCA12511ABLETOT,PARTRHCA12511NABLETOT,PARTRHCALESS11ABLETOT,PARTRHCALESS11NABLETOT,PARTRC1NHCA125ABLE,PARTRC1NHCA125NABLE,PARTRC1NHCA12511ABLE,PARTRC1NHCA12511NABLE,PARTRC1NHCALESS11ABLE,PARTRC1NHCALESS11NABLE,PARTRC2NHCA125ABLE,PARTRC2NHCA125NABLE,PARTRC2NHCA12511ABLE,PARTRC2NHCA12511NABLE,PARTRC2NHCALESS11ABLE,PARTRC2NHCALESS11NABLE,PARTRC3NHCA125ABLE,PARTRC3NHCA125NABLE,PARTRC3NHCA12511ABLE,PARTRC3NHCA12511NABLE,PARTRC3NHCALESS11ABLE,PARTRC3NHCALESS11NABLE,PARTRC4NHCA125ABLE,PARTRC4NHCA125NABLE,PARTRC4NHCA12511ABLE,PARTRC4NHCA12511NABLE,PARTRC4NHCALESS11ABLE,PARTRC4NHCALESS11NABLE,PARTRNHCA125ABLETOT,PARTRNHCA125NABLETOT,PARTRNHCA12511ABLETOT,PARTRNHCA12511NABLETOT,PARTRNHCALESS11ABLETOT,PARTRNHCALESS11NABLETOT,PARTR125ABLETOT,PARTR125NABLETOT,PARTR12511ABLETOT,PARTR12511NABLETOT,PARTRLESS11ABLETOT,PARTRLESS11NABLETOT,PARTRPT125TOT,PARTRPT12511TOT,PARTRPTLESS11TOT,PARTRTOTAL,PARTRINSPABLETOT,PARTRINSPNABLETOT,PARTPARTRINSPTOTAL
3/1/2022,2019,20200984,37682,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,5.309,0.016,0,0,0,0,5.094,0.398,0,0,0,0,11.04,2.539,0,0,0,1.179,0.279,0,0,0,0,0,21.722,2.953,0,0,0,1.179,654.228,235.853,36.159,28.476,70.79,89.341,35.385,45.318,1.348,0.08,0.487,8.875,39.981,14.957,0.011,0.115,0.044,5.554,0.057,0,0,0,0,0.215,729.651,296.128,37.518,28.671,71.321,103.985,751.373,299.081,37.518,28.671,71.321,105.164,1050.454,66.189,176.485,1293.128,860.212,432.916,1293.128
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0.06,0,0,0,0,0,0.28,0.01,0,0,0,0,1.95,1.4,0,0,0,0,0,0,0,0,0,0,2.29,1.41,0,0,0,0,140.6,63.22,0,0,0,0,58.43,24.51,0,0,0,0,30.15,8.03,0,0,0,0,0,0,0,0,0,0,229.18,95.76,0,0,0,0,231.47,97.17,0,0,0,0,328.64,0,0,328.64,231.47,97.17,328.64
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.13,0.03,0,0,0,0,0.12,0.75,0,0,0,0,2.72,3.84,0.27,0,0,0,0,0,0,0,0,0,2.97,4.62,0.27,0,0,0,56.4,14.09,1.26,0,0,0,28.19,12.59,1.94,0,0,0,19.59,10.13,0.16,0,0,0,0,0,0,0,0,0,104.18,36.81,3.36,0,0,0,107.15,41.43,3.63,0,0,0,148.58,3.63,0,152.21,110.78,41.43,152.21
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.05,0,0,0,0,1.94,0,0,0,0,0,3.89,1.05,0,0,0,0,0.26,1.5,0,0,0,0,1.74,0.86,0,0,0,0,1.52,3.07,0,0,0,0,0.23,0,0,0,0,0,3.75,5.43,0,0,0,0,7.64,6.48,0,0,0,0,14.12,0,0,14.12,7.64,6.48,14.12
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,2.04,0,0,0,0,2.04,0,0,2.04,0,2.04,2.04
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0.43,8.59,0,0,0,0,1.14,23.3,0,0,0,0,0.11,16.02,0,0,0,0,0,0,0,0,0,0,1.68,47.91,0,0,0,0,1.68,48.64,0,0,0,0,50.32,0,0,50.32,1.68,48.64,50.32
3/1/2022,2019,20200892,37587,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0.15,0,0,0,0,0.92,0.94,0,0,0,0,0,0,0,0,0,0,0.92,1.09,0,0,0,0,27,9.25,0,0,0,0,9.8,9.6,0,0,0,0,19,13.23,0,0,0,0,0,0,0,0,0,0,55.8,32.08,0,0,0,0,56.72,33.17,0,0,0,0,89.89,0,0,89.89,56.72,33.17,89.89
3/1/2022,2019,20200828,37520,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,5.95,0,0,0,0,0,1.27,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,10,10
3/1/2022,2019,20200891,37585,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0.17,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,4.79,0,0,0,0,0,6.08,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,22.11,0,0,0,0,22.11,0,0,22.11,0,22.11,22.11
3/1/2022,2019,20201206,37911,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0.298,1.991,0,0,0,0,0,20.152,0,0.511,0,1.85,0,1.078,0,0,0,0,0.298,23.221,0,0.511,0,1.85,18.47,18.936,0,0,0,20.525,18.51,45.135,0,0,0,3.948,2.34,58.928,0,3.082,0,7.16,0,1.056,0,0,0,0,39.32,124.055,0,3.082,0,31.633,39.618,147.276,0,3.593,0,33.483,186.894,3.593,33.483,223.97,39.618,184.352,223.97
