DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTPTONCPB,PARTPTONCPC,PARTPTONCUB,PARTPTONCUC,PARTPTONCI,PARTPTONWI,PARTPTONP,PARTPTONC,PARTPTONO,PARTPTONTOTAL,PARTPTOFFCPB,PARTPTOFFCPC,PARTPTOFFCUB,PARTPTOFFCUC,PARTPTOFFCI,PARTPTOFFWI,PARTPTOFFP,PARTPTOFFC,PARTPTOFFO,PARTPTOFFTOTAL,PARTPTCPBTOTAL,PARTPTCPCTOTAL,PARTPTCUBTOTAL,PARTPTCUCTOTAL,PARTPTCITOTAL,PARTPTWICTOTAL,PARTPTPTOTAL,PARTPTCTOTAL,PARTPTOTOTAL,PARTPTTOTAL,PARTPGONTACPB,PARTPGONTACPC,PARTPGONTACUB,PARTPGONTACUC,PARTPGONTACI,PARTPGONTAWI,PARTPGONTAP,PARTPGONTAC,PARTPGONTAO,PARTPGONATOTAL,PARTPGONTBCPB,PARTPGONTBCPC,PARTPGONTBCUB,PARTPGONTBCUC,PARTPGONTBCI,PARTPGONTBWI,PARTPGONTBP,PARTPGONTBC,PARTPGONTBO,PARTPGONBTOTAL,PARTPGOFFCPB,PARTPGOFFCPC,PARTPGOFFCUB,PARTPGOFFCUC,PARTPGOFFCI,PARTPGOFFWI,PARTPGOFFP,PARTPGOFFC,PARTPGOFFO,PARTPGOFFTOTAL,PARTPGCPBTOTAL,PARTPGCPCTOTAL,PARTPGCUBTOTAL,PARTPGCUCTOTAL,PARTPGCITOTAL,PARTPGWITOTAL,PARTPGPTOTAL,PARTPGCTOTAL,PARTPGOTOTAL,PARTPGTOTAL,PARTPCPBTOTAL,PARTPCPCTOTAL,PARTPCUBTOTAL,PARTPCUCTOTAL,PARTPCITOTAL,PARTPWITOTAL,PARTPPTOTAL,PARTPCTOTAL,PARTPOTOTAL,PARTPTOTALMILES,PARTPOTHERMATERIALS,PARTPGOTHERMATERIALS
3/1/2022,2019,20200984,37682,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,0.004,1293.128,0,0,0,0,0,0,0,1293.132,0,0,0,0,0,0,0,0,0,0,0.004,1293.128,0,0,0,0,0,0,0,1293.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1293.128,0,0,0,0,0,0,0,1293.132,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0,328.71,0,0,0,0,0,0,0,328.71,0,0,0,0,0,0,0,0,0,0,0,328.71,0,0,0,0,0,0,0,328.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.71,0,0,0,0,0,0,0,328.71,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0,152.23,0,0,0,0,0,0,0,152.23,0,0,0,0,0,0,0,0,0,0,0,152.23,0,0,0,0,0,0,0,152.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.23,0,0,0,0,0,0,0,152.23,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,14.11,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,14.11,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,2.04,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,2.04,,
3/1/2022,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,50.33,0,0,0,0,0,0,0,50.33,0,0,0,0,0,0,0,0,0,0,0,50.33,0,0,0,0,0,0,0,50.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33,0,0,0,0,0,0,0,50.33,,
3/1/2022,2019,20200892,37587,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,,
3/1/2022,2019,20200828,37520,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,,
3/1/2022,2019,20200891,37585,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,22.11,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,22.11,,
3/1/2022,2019,20201206,37911,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,223.97,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.97,0,0,0,0,0,0,0,223.97,,
3/1/2022,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,ALABAMA,0,236.305,0,0,0,0,0,0,1.64,237.945,0,0,0,0,0,0,0,0,0,0,0,236.305,0,0,0,0,0,0,1.64,237.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.305,0,0,0,0,0,0,1.64,237.945,,
3/1/2022,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0,34.59,0,0,0,0,0,0,0,34.59,0,0,0,0,0,0,0,0,0,0,0,34.59,0,0,0,0,0,0,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.59,0,0,0,0,0,0,0,34.59,,
3/1/2022,2019,20200865,37945,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,TENNESSEE,0,22.365,0,0,0,0,0,0,0,22.365,0,0,0,0,0,0,0,0,0,0,0,22.365,0,0,0,0,0,0,0,22.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.365,0,0,0,0,0,0,0,22.365,,
3/1/2022,2019,20200733,37419,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,0,387.609,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.609,0,0,0,0,0,0,0,387.609,,
3/1/2022,2019,20200939,37636,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,,
3/1/2022,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,0,387.05,0,0,0,0,0,0,0,387.05,0,0,0,0,0,0,0,0,0,0,0,387.05,0,0,0,0,0,0,0,387.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.05,0,0,0,0,0,0,0,387.05,,
3/1/2022,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,0,413.78,0,0,0,0,0,0,0,413.78,0,43.17,0,0,0,0,0,0,0,43.17,0,456.95,0,0,0,0,0,0,0,456.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.95,0,0,0,0,0,0,0,456.95,,
