DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2020,20211098,39417,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,1119.366,97.817,75.744,0.552,1293.479,0,0,1119.366,97.817,75.744,0.552,1293.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.366,97.817,75.744,0.552,1293.479,25.56,,25.56
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,203.35,83.96,41.41,0,328.72,0,0,203.35,83.96,41.41,0,328.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.35,83.96,41.41,0,328.72,3.7,,3.7
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,71.8,44.85,35.55,0,152.2,0,0,71.8,44.85,35.55,0,152.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8,44.85,35.55,0,152.2,7.65,,7.65
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,1.77,2.6,7.58,2.17,14.12,0,0,1.77,2.6,7.58,2.17,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,2.6,7.58,2.17,14.12,4.93,,4.93
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.04,1.92,0,1.96,0,0,0,0.04,1.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.92,0,1.96,0,,0
03/01/22,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,9.58,23.84,16.89,0,50.31,0,0,9.58,23.84,16.89,0,50.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,23.84,16.89,0,50.31,0.73,,0.73
03/01/22,2020,20211305,39638,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,35.98,19.76,34.14,0,89.88,0,0,35.98,19.76,34.14,0,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98,19.76,34.14,0,89.88,1.84,,1.84
03/01/22,2020,20211294,39622,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,5.92,1.3,2.77,0,9.99,0,0,5.92,1.3,2.77,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,1.3,2.77,0,9.99,0.63,,0.63
03/01/22,2020,20211306,39639,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,4.88,6.14,11.08,0,22.1,0,0,4.88,6.14,11.08,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,6.14,11.08,0,22.1,1.44,,1.44
03/01/22,2020,20211181,39501,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,56.325,71.461,91.418,3.317,222.521,0,0,56.325,71.461,91.418,3.317,222.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.325,71.461,91.418,3.317,222.521,27.66,,27.66
03/01/22,2020,20210467,38743,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,ALABAMA,162.158,2.531,73.256,0,237.945,0,0,162.158,2.531,73.256,0,237.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.158,2.531,73.256,0,237.945,20.89,,20.89
03/01/22,2020,20210467,38743,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,MISSISSIPPI,31.69,0,2.9,0,34.59,0,0,31.69,0,2.9,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.69,0,2.9,0,34.59,0.24,,0.24
03/01/22,2020,20210467,38743,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,TENNESSEE,20.855,0,1.51,0,22.365,0,0,20.855,0,1.51,0,22.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.855,0,1.51,0,22.365,,,
03/01/22,2020,20210433,38707,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,211.614,49.47,126.544,0,387.628,0,0,211.614,49.47,126.544,0,387.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.614,49.47,126.544,0,387.628,39.745,,39.745
03/01/22,2020,20210494,38773,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0.11,0,0,0,0.11,0,0,0.11,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.11,,,
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,126.1,84.66,176.29,0,387.05,0,0,126.1,84.66,176.29,0,387.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.1,84.66,176.29,0,387.05,113.59,0,113.59
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,146.37,85.4,206.41,12.8,450.98,5.99,5.99,152.36,85.4,206.41,12.8,456.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.36,85.4,206.41,12.8,456.97,114.45,0,114.45
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW JERSEY,46.2,9.97,79.7,0,135.87,0,0,46.2,9.97,79.7,0,135.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,9.97,79.7,0,135.87,62.24,0,62.24
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW YORK,22.47,9.92,55.07,0,87.46,0,0,22.47,9.92,55.07,0,87.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,9.92,55.07,0,87.46,48.14,0,48.14
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,OCS-Atlantic,0,0,0,0,0,3.58,3.58,3.58,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,3.58,,,
03/01/22,2020,20210710,39791,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,RHODE ISLAND,20.22,11.77,28.13,0,60.12,0,0,20.22,11.77,28.13,0,60.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.22,11.77,28.13,0,60.12,13.29,0,13.29
03/01/22,2020,20210418,38689,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,1.71,0,0.01,0,1.72,,0,1.71,0,0.01,0,1.72,,,,0,,,,0,,0,0,0,0,0,0,1.71,0,0.01,0,1.72,0,,0
03/01/22,2020,20210418,38689,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,13.83,0.4,0,0,14.23,0,0,13.83,0.4,0,0,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0.4,0,0,14.23,0,,0
03/01/22,2020,20210470,38746,402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0,23.56,0,0,0,0,0,0,0,23.56,0,0,23.56,0,23.56,0,0,23.56,0,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ARKANSAS,62.064,1.023,1.295,0,64.382,0,0,62.064,1.023,1.295,0,64.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.064,1.023,1.295,0,64.382,1.776,,1.776
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ILLINOIS,557.094,56.651,22.532,0,636.277,0,0,557.094,56.651,22.532,0,636.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.094,56.651,22.532,0,636.277,40.269,,40.269
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,INDIANA,763.609,165.412,47.28,0,976.301,0,0,763.609,165.412,47.28,0,976.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.609,165.412,47.28,0,976.301,81.704,,81.704
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,581.142,13.093,7.283,0,601.518,0,0,581.142,13.093,7.283,0,601.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.142,13.093,7.283,0,601.518,5.183,,5.183
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,827.415,4.474,0.212,0,832.101,0,0,827.415,4.474,0.212,0,832.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827.415,4.474,0.212,0,832.101,0.959,,0.959
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,263.673,14.448,0,0,278.121,0,0,263.673,14.448,0,0,278.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.673,14.448,0,0,278.121,1.315,,1.315
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,857.672,82.861,11.872,0,952.405,0,0,857.672,82.861,11.872,0,952.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.672,82.861,11.872,0,952.405,13.187,,13.187
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,976.117,257.677,77.665,0,1311.459,0,0,976.117,257.677,77.665,0,1311.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.117,257.677,77.665,0,1311.459,94.203,,94.203
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSISSIPPI,315.595,46.465,10.899,0,372.959,0,0,315.595,46.465,10.899,0,372.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.595,46.465,10.899,0,372.959,15.924,,15.924
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSOURI,267.955,2.009,2.246,0,272.21,0,0,267.955,2.009,2.246,0,272.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.955,2.009,2.246,0,272.21,2.679,,2.679
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,NEBRASKA,8.642,0,0,0,8.642,0,0,8.642,0,0,0,8.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.642,0,0,0,8.642,0,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OHIO,262.937,30.458,22.913,0,316.308,0,0,262.937,30.458,22.913,0,316.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.937,30.458,22.913,0,316.308,27.54,,27.54
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OKLAHOMA,346.157,0,0,0,346.157,0,0,346.157,0,0,0,346.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.157,0,0,0,346.157,0,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TENNESSEE,296.794,29.48,2.593,0,328.867,0,0,296.794,29.48,2.593,0,328.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.794,29.48,2.593,0,328.867,4.279,,4.279
