DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTRC1HCA125ABLE,PARTRC1HCA125NABLE,PARTRC1HCA12511ABLE,PARTRC1HCA12511NABLE,PARTRC1HCALESS11ABLE,PARTRC1HCALESS11NABLE,PARTRC2HCA125ABLE,PARTRC2HCA125NABLE,PARTRC2HCA12511ABLE,PARTRC2HCA12511NABLE,PARTRC2HCALESS11ABLE,PARTRC2HCALESS11NABLE,PARTRC3HCA125ABLE,PARTRC3HCA125NABLE,PARTRC3HCA12511ABLE,PARTRC3HCA12511NABLE,PARTRC3HCALESS11ABLE,PARTRC3HCALESS11NABLE,PARTRC4HCA125ABLE,PARTRC4HCA125NABLE,PARTRC4HCA12511ABLE,PARTRC4HCA12511NABLE,PARTRC4HCALESS11ABLE,PARTRC4HCALESS11NABLE,PARTRHCA125ABLETOT,PARTRHCA125NABLETOT,PARTRHCA12511ABLETOT,PARTRHCA12511NABLETOT,PARTRHCALESS11ABLETOT,PARTRHCALESS11NABLETOT,PARTRC1NHCA125ABLE,PARTRC1NHCA125NABLE,PARTRC1NHCA12511ABLE,PARTRC1NHCA12511NABLE,PARTRC1NHCALESS11ABLE,PARTRC1NHCALESS11NABLE,PARTRC2NHCA125ABLE,PARTRC2NHCA125NABLE,PARTRC2NHCA12511ABLE,PARTRC2NHCA12511NABLE,PARTRC2NHCALESS11ABLE,PARTRC2NHCALESS11NABLE,PARTRC3NHCA125ABLE,PARTRC3NHCA125NABLE,PARTRC3NHCA12511ABLE,PARTRC3NHCA12511NABLE,PARTRC3NHCALESS11ABLE,PARTRC3NHCALESS11NABLE,PARTRC4NHCA125ABLE,PARTRC4NHCA125NABLE,PARTRC4NHCA12511ABLE,PARTRC4NHCA12511NABLE,PARTRC4NHCALESS11ABLE,PARTRC4NHCALESS11NABLE,PARTRNHCA125ABLETOT,PARTRNHCA125NABLETOT,PARTRNHCA12511ABLETOT,PARTRNHCA12511NABLETOT,PARTRNHCALESS11ABLETOT,PARTRNHCALESS11NABLETOT,PARTR125ABLETOT,PARTR125NABLETOT,PARTR12511ABLETOT,PARTR12511NABLETOT,PARTRLESS11ABLETOT,PARTRLESS11NABLETOT,PARTRPT125TOT,PARTRPT12511TOT,PARTRPTLESS11TOT,PARTRTOTAL,PARTRINSPABLETOT,PARTRINSPNABLETOT,PARTPARTRINSPTOTAL
3/1/2022,2017,20187366,34602,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0.28,2.24,0,0,0,0,0,19.86,0,0.53,0,1.85,0,1.04,0,0,0,0,0.28,23.14,0,0.53,0,1.85,19.51,18.82,0,0,0,20.52,17.54,45.59,0,0,0,3.95,2.32,59.3,0,3.05,0,9.02,0,1.11,0,0,0,0,39.37,124.82,0,3.05,0,33.49,39.65,147.96,0,3.58,0,35.34,187.61,3.58,35.34,226.53,39.65,186.88,226.53
3/1/2022,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,162.158,0,0,0,0,0,2.531,0,0,0,0,0,52.366,0,0,0,0,0,0,0,0,0,0,0,217.055,0,0,0,0,0,237.945,0,0,0,0,0,237.945,0,0,237.945,237.945,0,237.945
3/1/2022,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,31.694,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,34.354,0,0,0,0,0,34.594,0,0,0,0,0,34.594,0,0,34.594,34.594,0,34.594
3/1/2022,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,TENNESSEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.855,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,22.365,0,0,0,0,0,22.365,0,0,0,0,0,22.365,0,0,22.365,22.365,0,22.365
3/1/2022,2017,20187119,34336,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,0.659,0.217,0,0,0,0.038,1.697,0,0,0,0,0,29.964,3.584,0,0,0.17,0.269,0,0,0,0,0,0,32.32,3.801,0,0,0.17,0.307,143.691,32.603,0,2.79,0.221,36.581,40.361,17.249,0,0,0.088,6.153,43.045,24.745,0,0,1.138,3.458,0,0,0,0,0,0,227.097,74.597,0,2.79,1.447,46.192,259.417,78.398,0,2.79,1.617,46.499,337.815,2.79,48.116,388.721,261.034,127.687,388.721
3/1/2022,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,11.41,0.37,0,0,3.58,0,13.42,0,0,0,0.2,0,72.46,2.66,0,0.79,4.27,0.14,0,0,0,0,0,0,97.29,3.03,0,0.79,8.05,0.14,85.82,8,0,0,11.82,5.9,58.82,0.55,0,0,5.66,5.9,59.44,13.64,0,1.2,13.27,7.17,0,0,0,0,0,0,204.08,22.19,0,1.2,30.75,18.97,301.37,25.22,0,1.99,38.8,19.11,326.59,1.99,57.91,386.49,340.17,46.32,386.49
3/1/2022,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,7.02,0.36,0,0,0.1,0,5.73,0.37,0,0,0.01,0,79.23,4.4,0,0,2.39,0.94,10.83,0.02,0,0,1.63,0.3,102.81,5.15,0,0,4.13,1.24,114.82,25.32,0,0,10.57,0.02,64.05,11.48,0,0,3.15,0.89,94.42,12.14,0,0,9.39,0.52,0.01,0,0,0,0,0,273.3,48.94,0,0,23.11,1.43,376.11,54.09,0,0,27.24,2.67,430.2,0,29.91,460.11,403.35,56.76,460.11
3/1/2022,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW JERSEY,10.88,0,0,0,0,0,2.2,0,0,0,0,0,48.81,0,0,0,0.02,0.04,0,0,0,0,0,0,61.89,0,0,0,0.02,0.04,35.15,0.13,0,0,0.03,0.02,7.73,0,0,0,0,0,30.87,0,0,0,0,0,0,0,0,0,0,0,73.75,0.13,0,0,0.03,0.02,135.64,0.13,0,0,0.05,0.06,135.77,0,0.11,135.88,135.69,0.19,135.88
3/1/2022,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW YORK,6.86,0.19,0,0,0,0,4.16,0,0,0,0,0,34.65,0,0,0,0,0,0,0,0,0,0,0,45.67,0.19,0,0,0,0,17.75,0.73,0,0,0,0,8.46,0.17,0,0,0,0,13.96,0.4,0,0,0,0,0,0,0,0,0,0,40.17,1.3,0,0,0,0,85.84,1.49,0,0,0,0,87.33,0,0,87.33,85.84,1.49,87.33
3/1/2022,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,RHODE ISLAND,0.12,0.2,0,0,0,0,0.81,0.4,0,0,0,0,5.6,3.35,0,0,2.44,0,0,0,0,0,0,0,6.53,3.95,0,0,2.44,0,15.35,0.3,0,0,4.29,0,7.27,0,0,0,3.18,0,10.55,0.26,0,0,5.9,0.09,0,0,0,0,0,0,33.17,0.56,0,0,13.37,0.09,39.7,4.51,0,0,15.81,0.09,44.21,0,15.9,60.11,55.51,4.6,60.11
3/1/2022,2017,20187146,34365,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,3.75,0,0,0,0,3.75,0,0,3.75,0,3.75,3.75
3/1/2022,2017,20187146,34365,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,12.62,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.49,0,0,0,0,0,14.51,0,0,0,0,14.51,0,0,14.51,0,14.51,14.51
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ARKANSAS,0.248,0,0,0,0,0,0.094,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,1.662,0,0,0,0,0,56.969,0,3.886,0,0.069,0,1.685,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,58.765,0,3.886,0,0.069,0,60.427,0,3.886,0,0.069,0,60.427,3.886,0.069,64.382,64.382,0,64.382
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ILLINOIS,7.822,0.176,0.587,0,0.006,0,6.815,0,0,0,0,0,16.636,0.12,0,0,0.001,0,0,0,0,0,0,0,31.273,0.296,0.587,0,0.007,0,418.529,7.099,111.773,0,8.023,4.733,47.867,0.834,0.022,0,0.263,0,4.676,0.005,0.295,0,0,0,0,0,0,0,0,0,471.072,7.938,112.09,0,8.286,4.733,502.345,8.234,112.677,0,8.293,4.733,510.579,112.677,13.026,636.282,623.315,12.967,636.282
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,INDIANA,15.57,0,0,0,0.018,0,18.9,0,0,0,0.086,0,36.454,0,0.193,0,0.118,0,0,0,0,0,0,0,70.924,0,0.193,0,0.222,0,730.318,2.343,11.16,0.033,5.394,4.058,140.28,0.484,0.101,0,2.2,0,8.497,0,0,0,0.002,0,0,0,0,0,0,0,879.095,2.827,11.261,0.033,7.596,4.058,950.019,2.827,11.454,0.033,7.818,4.058,952.846,11.487,11.876,976.209,969.291,6.918,976.209
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,0.279,0,0,0,0,0,0.088,0.001,0,0,0,0,2.216,0.579,0,0,0,0,0,0,0,0,0,0,2.583,0.58,0,0,0,0,324.39,96.238,153.771,0,5.449,3.255,6.669,4.247,0,0,0.614,0,2.319,1.419,0,0,0,0,0,0,0,0,0,0,333.378,101.904,153.771,0,6.063,3.255,335.961,102.484,153.771,0,6.063,3.255,438.445,153.771,9.318,601.534,495.795,105.739,601.534
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.353,4.399,289.207,2.103,20.387,0.115,4.527,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.88,4.399,289.215,2.103,20.387,0.115,515.88,4.399,289.215,2.103,20.387,0.115,520.279,291.318,20.502,832.099,825.482,6.617,832.099
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.817,3.803,11.024,0.002,0.029,0,14.44,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,263.257,3.803,11.024,0.002,0.037,0,263.257,3.803,11.024,0.002,0.037,0,267.06,11.026,0.037,278.123,274.318,3.805,278.123
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,0.807,0,0,0,0,0,3.062,0.184,0,0,0,0,5.077,0.14,0,0,0,0.001,0,0,0,0,0,0,8.946,0.324,0,0,0,0.001,697.124,76.427,54.893,11.744,9.917,1.878,79.184,2.611,1.926,0,1.247,0,6.125,0,0.022,0,0.04,0,0,0,0,0,0,0,782.433,79.038,56.841,11.744,11.204,1.878,791.379,79.362,56.841,11.744,11.204,1.879,870.741,68.585,13.083,952.409,859.424,92.985,952.409
3/1/2022,2017,20187294,36581,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,14.506,0,0,0,0,0.67,12.753,0,0,0,0,0,50.511,0.106,0,0,0.024,0.496,0,0,0,0,0,0,77.77,0.106,0,0,0.024,1.166,699.669,40.516,22.31,0,12.021,197.349,216.228,9.872,4.553,0,1.567,7.413,15.861,3.844,0,0,0.131,1.115,0,0,0,0,0,0,931.758,54.232,26.863,0,13.719,205.877,1009.528,54.338,26.863,0,13.743,207.043,1063.866,26.863,220.786,1311.515,1050.134,261.381,1311.515
