DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2018,20197710,35227,39180,INVENERGY NELSON LLC,Natural Gas,INTRASTATE,ILLINOIS,0,5.5,0,0,5.5,0,0,0,5.5,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5,0,,0
03/01/22,2018,20190408,35744,39183,"MEDALLION OPERATING COMPANY, LLC",Natural Gas,INTRASTATE,TEXAS,6.14,0,0,0,6.14,0,0,6.14,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,6.14,0,,0
03/01/22,2018,20191159,36599,39185,"NGG GAS GATHERING COMPANY, LLC",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0.7,12.8,0,0,0,0,0,0,0,0,12.1,0.7,12.8,0,0,12.1,0.7,12.8,,,
03/01/22,2018,20191148,36572,39189,"NORTHSTAR OFFSHORE VENTURES, LLC",Natural Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,8.53,8.53,0,0,0,8.53,8.53,0,0,0,8.53,,,
03/01/22,2018,20190321,35654,39192,"NEXUS GAS TRANSMISSION, LLC (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MICHIGAN,38.34,2.12,6.22,0,46.68,0,0,38.34,2.12,6.22,0,46.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.34,2.12,6.22,0,46.68,8.55,,8.55
03/01/22,2018,20190321,35654,39192,"NEXUS GAS TRANSMISSION, LLC (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,OHIO,157.37,43.8,9.18,0,210.35,0,0,157.37,43.8,9.18,0,210.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.37,43.8,9.18,0,210.35,33.28,,33.28
03/01/22,2018,20190851,36204,39193,"ROVER PIPELINE, LLC",Natural Gas,INTERSTATE,MICHIGAN,55.08,15.49,1.79,0,72.36,0,0,55.08,15.49,1.79,0,72.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.08,15.49,1.79,0,72.36,9.5,,9.5
03/01/22,2018,20190851,36204,39193,"ROVER PIPELINE, LLC",Natural Gas,INTERSTATE,OHIO,544.54,28.73,2.13,0,575.4,0,0,544.54,28.73,2.13,0,575.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.54,28.73,2.13,0,575.4,30.04,,30.04
03/01/22,2018,20190851,36204,39193,"ROVER PIPELINE, LLC",Natural Gas,INTERSTATE,PENNSYLVANIA,8.54,1.74,0,0,10.28,0,0,8.54,1.74,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,1.74,0,0,10.28,0,,0
03/01/22,2018,20190851,36204,39193,"ROVER PIPELINE, LLC",Natural Gas,INTERSTATE,WEST VIRGINIA,55.73,3.07,2.2,0,61,0,0,55.73,3.07,2.2,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.73,3.07,2.2,0,61,2.29,,2.29
03/01/22,2018,20190489,35827,39194,SIERRITA GAS PIPELINE LLC,Natural Gas,INTERSTATE,ARIZONA,61.3,0,0,0,61.3,0,0,61.3,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,61.3,,,
03/01/22,2018,20197705,35222,39207,RIVERSIDE PETROLEUM INDIANA,Natural Gas,INTRASTATE,INDIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.156,0,1.956,0,0,0,1.8,0.156,0,1.956,0,1.8,0.156,0,1.956,,,
03/01/22,2018,20190477,35815,39210,"BOARDWALK STORAGE COMPANY, LLC",Natural Gas,INTERSTATE,LOUISIANA,14.8,0,0,0,14.8,0,0,14.8,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,14.8,,,
03/01/22,2018,20190747,36096,39211,"RICHLAND STRYKER GENERATION, LLC",Natural Gas,INTRASTATE,OHIO,0,0,0.468,0,0.468,0,0,0,0,0.468,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0.468,0.308,,0.308
03/01/22,2018,20190573,35917,39216,TALLGRASS MIDSTREAM LLC,Natural Gas,INTERSTATE,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,3.8,0,0,0,0,0,0,0,3.8,0,0,3.8,0,3.8,0,0,3.8,,,
03/01/22,2018,20200125,36781,39218,LEATHERSTOCKING GAS COMPANY,Natural Gas,INTRASTATE,PENNSYLVANIA,1.545,0,0,0,1.545,0,0,1.545,0,0,0,1.545,,,,,,,,,,,,,,,,1.545,0,0,0,1.545,0,,0
03/01/22,2018,20190914,36272,39223,"NET MEXICO PIPELINE PARTNERS, LLC",Natural Gas,INTRASTATE,TEXAS,139.564,1.071,0,0,140.635,0,0,139.564,1.071,0,0,140.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.564,1.071,0,0,140.635,1.071,,1.071
03/01/22,2018,20190753,36103,39227,CALIFORNIA RESOURCES VENTURA BASIN,Natural Gas,INTRASTATE,CALIFORNIA,0.5,0.11,1.01,0,1.62,0,0,0.5,0.11,1.01,0,1.62,0,0,0,0,1.75,11.83,0,13.58,0,0,0,1.75,11.83,0,13.58,0.5,1.86,12.84,0,15.2,,,
03/01/22,2018,20190768,36118,39228,ANDEAVOR FIELD SERVICES LLC,Natural Gas,INTERSTATE,WYOMING,20.82,0,0,0,20.82,0,0,20.82,0,0,0,20.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.82,0,0,0,20.82,0,,0
03/01/22,2018,20190768,36118,39228,ANDEAVOR FIELD SERVICES LLC,Natural Gas,INTRASTATE,NORTH DAKOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,0.85,0,0.85,0,0,0.85,0,0.85,0,,0
03/01/22,2018,20190545,35888,39229,CAMINO REAL GATHERING CO LLC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0.07,0,0.07,,,
03/01/22,2018,20191131,36519,39230,"BUFFCO PRODUCTION, INC.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0.67,0,0,0,0,0.67,0,0.67,0,0,0.67,0,0.67,,,
03/01/22,2018,20190695,36044,39231,INTENSITY MIDSTREAM LLC,Natural Gas,INTRASTATE,OKLAHOMA,36.21,0,0,0,36.21,0,0,36.21,0,0,0,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21,0,0,0,36.21,,,
03/01/22,2018,20190944,36302,39232,MATADOR PRODUCTION COMPANY,Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,1.66,0,0,0,0,0,0,0,0,1.66,0,1.66,0,0,1.66,0,1.66,,,
03/01/22,2018,20190944,36302,39232,MATADOR PRODUCTION COMPANY,Natural Gas,INTRASTATE,NEW MEXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0.75,0,0,0.75,0,0.75,0,0,0.75,,,
03/01/22,2018,20190250,35567,39234,"UNITED GAS PIPELINE COMPANY, LLC",Natural Gas,INTRASTATE,WEST VIRGINIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,2.28,0,2.85,0,0,0,0.57,2.28,0,2.85,0,0.57,2.28,0,2.85,,,
