DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
03/01/22,2017,20187226,34453,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,57.279,5.341,22.264,0,84.884,12.226,0.889,1.315,0,14.43,14.011,1.398,1.548,0.337,17.294,113.523,11.689,9.238,0,134.45,124.786,7.973,3.448,0,136.207,327.675,0.388,0,0,328.063,0.003,0,0,0,0.003,0.231,0.008,0,0,0.239,4.302,0.005,0.117,0,4.424,0,0,0,0,0,654.036,27.691,37.93,0.337,719.994,0,0,0,0,0,0,654.036,27.691,37.93,0.337,719.994
03/01/22,2017,20186788,33983,21,"ACACIA NATURAL GAS, L.L.C.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0.003,0,0,0.003,0.27,0.01,0,0,0.28,3.88,1.36,1.05,0,6.29,33.8,15.66,2.65,0,52.11,56.49,7.6,0,0,64.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.44,24.633,3.7,0,122.773,0,0,0,0,0,0,94.44,24.633,3.7,0,122.773
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,3.76,0,0.18,0,3.94,53.41,9.25,10.6,0,73.26,13.86,18.86,9.47,0,42.19,106.03,56.66,19.22,0,181.91,26.15,1.24,0,0,27.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.21,86.01,39.47,0,328.69,0,0,0,0,0,0,203.21,86.01,39.47,0,328.69
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.09,1.59,0.06,0,1.74,10.28,7.83,15.41,0,33.52,48.33,16.37,17.9,0,82.6,5.39,12.23,4.77,0,22.39,5.54,4.35,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.63,42.37,38.14,0,150.14,0,0,0,0,0,0,69.63,42.37,38.14,0,150.14
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0.02,0.33,0.06,0.41,0.93,0.31,3.71,1.94,6.89,0.83,2.3,3.51,0.17,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.63,7.55,2.17,14.11,0,0,0,0,0,0,1.76,2.63,7.55,2.17,14.11
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.92,0,2.04,,,,,,,0,0.12,1.92,0,2.04
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,2.27,12.1,8.77,0,23.14,7.7,6.66,4.36,0,18.72,1.73,0.63,0.28,0,2.64,0.07,4.46,3.68,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,23.85,17.09,0,52.71,0,0,0,0,0,0,11.77,23.85,17.09,0,52.71
03/01/22,2017,20186896,34094,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,1.2,1.36,4.63,0,7.19,27.63,15.35,28.37,0,71.35,8.09,1.95,1.28,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,18.66,34.28,0,89.86,0,0,0,0,0,0,36.92,18.66,34.28,0,89.86
03/01/22,2017,20186773,33965,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,1.28,0.49,2.68,0,4.45,4.63,0.82,0.09,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,1.31,2.77,0,9.99,0,0,0,0,0,0,5.91,1.31,2.77,0,9.99
03/01/22,2017,20186775,34087,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0.53,0.24,5.41,0,6.18,4.57,3.7,2.93,0,11.2,0,0.01,0.02,0,0.03,0.41,1.53,3.1,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,5.48,11.46,0,22.45,0,0,0,0,0,0,5.51,5.48,11.46,0,22.45
03/01/22,2017,20187366,34602,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0.55,0.59,2.86,0.22,4.22,17.58,17.22,27.13,1.93,63.86,22.46,39.23,33.24,0,94.93,12.87,8.77,17.63,0,39.27,5.39,3.79,5.6,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,9.47,0,0,0,0,0,58.85,69.6,95.93,2.15,226.53,0,0,0,0,0,0,58.85,69.6,95.93,2.15,226.53
03/01/22,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,ALABAMA,12.038,0,10.773,0,22.811,4.728,0,10.47,0,15.198,64.227,1.328,22.923,0,88.478,64.481,1.203,18.975,0,84.659,16.684,0,8.475,0,25.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,162.158,2.531,73.256,0,237.945,0,0,0,0,0,0,162.158,2.531,73.256,0,237.945
03/01/22,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,6.65,0,0.09,0,6.74,25.04,0,2.81,0,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.69,0,2.9,0,34.59,,,,,,,31.69,0,2.9,0,34.59
03/01/22,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC",Natural Gas,INTERSTATE,TENNESSEE,0,0,0,0,0,4.45,0,1.51,0,5.96,16.405,0,0,0,16.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.855,0,1.51,0,22.365,,,,,,,20.855,0,1.51,0,22.365
03/01/22,2017,20187119,34336,207,ALASKA PIPELINE CO,Natural Gas,INTRASTATE,ALASKA,0.223,0.336,2.104,0,2.663,25.445,5.144,26.278,0,56.867,6.228,1.864,14.962,0,23.054,60.052,48.159,57.544,0,165.755,110.465,9.869,4.826,0,125.16,14.203,0.007,0.043,0,14.253,0,0,0,0,0,0,0,0,0,0,0.184,0.166,0.616,0,0.966,0,0,0,0,0,216.8,65.545,106.373,0,388.718,0,0,0,0,0,0,216.8,65.545,106.373,0,388.718
03/01/22,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,0.04,1.16,10.46,0,11.66,18.66,6.7,22.3,0,47.66,14.09,8.23,44.62,0,66.94,62.48,46.24,84.43,0,193.15,31.63,22.22,13.23,0,67.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,84.55,175.04,0,386.49,0,0,0,0,0,0,126.9,84.55,175.04,0,386.49
03/01/22,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,0.25,0.33,1.19,2.23,4,10.99,8.62,22.22,4.65,46.48,36.16,18.16,59.76,5.8,119.88,54.35,49.25,108.96,0.11,212.67,11.02,9.32,11.31,0,31.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.77,85.68,203.44,12.79,414.68,9.52,35.92,0,0,0,45.44,158.21,85.68,203.44,12.79,460.12
03/01/22,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW JERSEY,0,0,0,0,0,0,0,0,0,0,1.06,0.7,9.02,0,10.78,24.37,5.21,48.48,0,78.06,18.08,3.24,22.24,0,43.56,2.7,0.78,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.21,9.93,79.74,0,135.88,0,0,0,0,0,0,46.21,9.93,79.74,0,135.88
03/01/22,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW YORK,0,0,0.37,0,0.37,0.02,0.02,0.05,0,0.09,2.48,0.58,0.47,0,3.53,16.13,9.85,37.92,0,63.9,6.9,2.34,10.2,0,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,12.79,49.01,0,87.33,0,0,0,0,0,0,25.53,12.79,49.01,0,87.33
03/01/22,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,RHODE ISLAND,1.03,0.03,0.21,0,1.27,2.27,3.18,2.95,0,8.4,4.88,1.99,6.24,0,13.11,4.24,0.39,17.23,0,21.86,7.84,6.07,1.56,0,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26,11.66,28.19,0,60.11,0,0,0,0,0,0,20.26,11.66,28.19,0,60.11
