DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTJTONUNKWN,PARTJTONPRE1940,PARTJTON194049,PARTJTON195059,PARTJTON196069,PARTJTON197079,PARTJTON198089,PARTJTON199099,PARTJTON200009,PARTJTON201019,PARTJTON202029,PARTJTONTOTAL,PARTJTOFFUNKWN,PARTJTOFFPRE1940,PARTJTOFF194049,PARTJTOFF195059,PARTJTOFF196069,PARTJTOFF197079,PARTJTOFF198089,PARTJTOFF199099,PARTJTOFF200009,PARTJTOFF201019,PARTJTOFF202029,PARTJTOFFTOTAL,PARTJTUNKWNTOT,PARTJTPRE1940TOT,PARTJT194049TOT,PARTJT195059TOT,PARTJT196069TOT,PARTJT197079TOT,PARTJT198089TOT,PARTJT199099TOT,PARTJT200009TOT,PARTJT201019TOT,PARTJT202029TOT,PARTJTTOTAL,PARTJGONAUNKWN,PARTJGONAPRE1940,PARTJGONA194049,PARTJGONA195059,PARTJGONA196069,PARTJGONA197079,PARTJGONA198089,PARTJGONA199099,PARTJGONA200009,PARTJGONA201019,PARTJGONA202029,PARTJGONATOTAL,PARTJGONBUNKWN,PARTJGONBPRE1940,PARTJGONB194049,PARTJGONB195059,PARTJGONB196069,PARTJGONB197079,PARTJGONB198089,PARTJGONB199099,PARTJGONB200009,PARTJGONB201019,PARTJGONB202029,PARTJGONBTOTAL,PARTJGOFFUNKWN,PARTJGOFFPRE1940,PARTJGOFF194049,PARTJGOFF195059,PARTJGOFF196069,PARTJGOFF197079,PARTJGOFF198089,PARTJGOFF199099,PARTJGOFF200009,PARTJGOFF201019,PARTJGOFF202029,PARTJGOFFTOTAL,PARTJGUNKWNTOT,PARTJGPRE1940TOT,PARTJG194049TOT,PARTJG195059TOT,PARTJG196069TOT,PARTJG197079TOT,PARTJG198089TOT,PARTJG199099TOT,PARTJG200009TOT,PARTJG201019TOT,PARTJG202029TOT,PARTJGTOTAL,PARTJUNKWNTOT,PARTJPRE1940TOT,PARTJ194049TOT,PARTJ195059TOT,PARTJ196069TOT,PARTJ197079TOT,PARTJ198089TOT,PARTJ199099TOT,PARTJ200009TOT,PARTJ201019TOT,PARTJ202029TOT,PARTJTOTAL
03/01/22,2018,20190245,35560,2731,CHEVRON PIPE LINE CO,Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,0.9,0,0,0,0,0,,0.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.9,0,0,0,0,0,,0.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.9,0,0,0,0,0,,0.9
03/01/22,2018,20190245,35560,2731,CHEVRON PIPE LINE CO,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,2.02,,2.02,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.02,,2.02,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2.02,,2.02
03/01/22,2018,20190445,35782,2748,CONSUMERS ENERGY CO,Natural Gas,INTRASTATE,MICHIGAN,0,12.713,284.451,585.733,888.685,295.016,9.517,118.409,93.303,138.603,,2426.43,,,,,,,,,,,,,0,12.713,284.451,585.733,888.685,295.016,9.517,118.409,93.303,138.603,,2426.43,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,12.713,284.451,585.733,888.685,295.016,9.517,118.409,93.303,138.603,,2426.43
03/01/22,2018,20190879,36234,2767,"HARVEST ALASKA, LLC",Natural Gas,INTRASTATE,ALASKA,0,0,0,0,66.53,28.07,0,27.62,0.16,14.98,,137.36,0,0,0,0,0,0,0,5.96,0,0,,5.96,0,0,0,0,66.53,28.07,0,33.58,0.16,14.98,,143.32,0,0,0,0,5.23,0,0,0,36.51,0,,41.74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5.23,0,0,0,36.51,0,,41.74,0,0,0,0,71.76,28.07,0,33.58,36.67,14.98,,185.06
03/01/22,2018,20190169,35478,2796,CORNING MUNICIPAL UTILITIES,Natural Gas,INTRASTATE,IOWA,0,0,0,0,0,0,0,0,14,0,,14,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,14,0,,14,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,14,0,,14
03/01/22,2018,20191169,36644,2800,CORNING NATURAL GAS CORP,Natural Gas,INTRASTATE,NEW YORK,0,0,0,0,1.6,0,0,0,3.8,0,,5.4,,,,,,,,,,,,,0,0,0,0,1.6,0,0,0,3.8,0,,5.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.6,0,0,0,3.8,0,,5.4
03/01/22,2018,20190736,36085,2859,CRANBERRY PIPELINE CORP (WV),Natural Gas,INTRASTATE,WEST VIRGINIA,4.216,0,23.603,2.714,15.739,13.443,7.435,6.722,14.984,5.688,,94.544,,,,,,,,,,,,,4.216,0,23.603,2.714,15.739,13.443,7.435,6.722,14.984,5.688,,94.544,0,0,1.423,0,3.19,12.578,5.964,0.068,0.881,0.507,,24.611,0,7.075,4.458,5.08,3.89,5.07,15.818,21.882,6.543,3.017,,72.833,,,,,,,,,,,,,0,7.075,5.881,5.08,7.08,17.648,21.782,21.95,7.424,3.524,,97.444,4.216,7.075,29.484,7.794,22.819,31.091,29.217,28.672,22.408,9.212,,191.988
03/01/22,2018,20190694,36043,2879,"AMERICAN MIDSTREAM (LOUISIANA  INTRASTATE), LLC",Natural Gas,INTRASTATE,LOUISIANA,0,0,0,124.416,0,0,0,0,5,0,,129.416,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,124.416,0,0,0,0,5,0,,129.416,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,124.416,0,0,0,0,5,0,,129.416
03/01/22,2018,20190165,35474,3240,DELMARVA POWER & LIGHT COMPANY,Natural Gas,INTRASTATE,DELAWARE,0,0,0,0,0.102,0,7.302,0.134,0.046,0.008,,7.592,,,,,,,,,,,,,0,0,0,0,0.102,0,7.302,0.134,0.046,0.008,,7.592,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.102,0,7.302,0.134,0.046,0.008,,7.592
03/01/22,2018,20190642,35988,3260,DELTA NATURAL GAS CO INC,Natural Gas,INTRASTATE,KENTUCKY,0,0,0,0,0,36.037,45.154,15.962,52.091,1.921,,151.165,,,,,,,,,,,,,0,0,0,0,0,36.037,45.154,15.962,52.091,1.921,,151.165,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3.945,8.058,5.816,1.682,,19.501,,,,,,,,,,,,,0,0,0,0,0,0,3.945,8.058,5.816,1.682,,19.501,0,0,0,0,0,36.037,49.099,24.02,57.907,3.603,,170.666
03/01/22,2018,20190863,36216,3527,DOW PIPELINE CO,Natural Gas,INTRASTATE,TEXAS,0.29,0,77.21,80.76,0,70.65,0,0.07,0.19,0.3,,229.47,,,,,,,,,,,,,0.29,0,77.21,80.76,0,70.65,0,0.07,0.19,0.3,,229.47,0,0,0,0.94,0,0.05,0.23,0,0,0,,1.22,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0.94,0,0.05,0.23,0,0,0,,1.22,0.29,0,77.21,81.7,0,70.7,0.23,0.07,0.19,0.3,,230.69
03/01/22,2018,20190861,36214,3527,DOW PIPELINE CO,Other Gas-Ethylene,INTRASTATE,TEXAS,6.05,0,16.33,0,0.74,76.05,3.76,1.05,0.88,6.49,,111.35,,,,,,,,,,,,,6.05,0,16.33,0,0.74,76.05,3.76,1.05,0.88,6.49,,111.35,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,6.05,0,16.33,0,0.74,76.05,3.76,1.05,0.88,6.49,,111.35
