DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTHON4LESS,PARTHON6,PARTHON8,PARTHON10,PARTHON12,PARTHON14,PARTHON16,PARTHON18,PARTHON20,PARTHON22,PARTHON24,PARTHON26,PARTHON28,PARTHON30,PARTHON32,PARTHON34,PARTHON36,PARTHON38,PARTHON40,PARTHON42,PARTHON44,PARTHON46,PARTHON48,PARTHON50,PARTHON52,PARTHON54,PARTHON56,PARTHON58OVER,PARTHON_OTHER_PIPE_DETAIL,PARTHON_OTHER_PIPE_MILE_TOTAL,PARTHONTOTAL,PARTHOFF4LESS,PARTHOFF6,PARTHOFF8,PARTHOFF10,PARTHOFF12,PARTHOFF14,PARTHOFF16,PARTHOFF18,PARTHOFF20,PARTHOFF22,PARTHOFF24,PARTHOFF26,PARTHOFF28,PARTHOFF30,PARTHOFF32,PARTHOFF34,PARTHOFF36,PARTHOFF38,PARTHOFF40,PARTHOFF42,PARTHOFF44,PARTHOFF46,PARTHOFF48,PARTHOFF50,PARTHOFF52,PARTHOFF54,PARTHOFF56,PARTHOFF58OVER,PARTHOFF_OTHER_PIPE_DETAIL,PARTHOFF_OTHER_PIPE_MILE_TOTAL,PARTHOFFTOTAL
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,0,0,0,0,0,17.78,0,2.39,0,0,18.91,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0,,,52.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,0,0,0,0,0,0,0,0,282.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,282.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,10.4,0,0,126.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,137.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0,62.21,0,95.36,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,168.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,0,0,0,0,0,0,0,0,57.34,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,58.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,0,9.82,20.07,0,50.65,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,84.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,11.6,62.94,51.34,0,27.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,153.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,16.67,0,53.64,301.92,0,75.15,0,23.08,0,0,22.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,492.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,0,0,0,4.89,123.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,0,16.6,2.94,86.3,18.48,0,97.23,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,232.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
