DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQUNKWNHF,PARTQPRE40HF,PARTQ1940HF,PARTQ1950HF,PARTQ1960HF,PARTQ1970HF,PARTQ1980HF,PARTQ1990HF,PARTQ2000HF,PARTQ2010HF,PARTQ2020HF,PARTQTOTALHF,PARTQUNKWNLF,PARTQPRE40LF,PARTQ1940LF,PARTQ1950LF,PARTQ1960LF,PARTQ1970LF,PARTQ1980LF,PARTQ1990LF,PARTQ2000LF,PARTQ2010LF,PARTQ2020LF,PARTQTOTALLF,PARTQUNKWNTOTAL,PARTQPRE40TOTAL,PARTQ1940TOTAL,PARTQ1950TOTAL,PARTQ1960TOTAL,PARTQ1970TOTAL,PARTQ1980TOTAL,PARTQ1990TOTAL,PARTQ2000TOTAL,PARTQ2010TOTAL,PARTQ2020TOTAL,PARTQTOTAL
3/1/2022,2019,20200263,17488,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,12.91,,12.91,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,12.91,,12.91
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,,,,,,11.19,0.38,12.59,,19.17,,43.33,,,,4.8,,,,,,,,4.8,,,,4.8,,11.19,0.38,12.59,,19.17,,48.13
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,,,,,,,,,,282.12,,282.12,,,,,,,,,,,,0,,,,,,,,,,282.12,,282.12
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0,0,0,0,0,0,6.43,0,0,10.51,,16.94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.43,0,0,10.51,,16.94
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,,,,,,,0.09,0.34,0.11,,,0.54,,,,1.18,1.51,,,,,,,2.69,,,,1.18,1.51,,0.09,0.34,0.11,,,3.23
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,,,,,,,9.27,10.72,4.39,51,,75.38,,,,,,,,,,,,0,,,,,,,9.27,10.72,4.39,51,,75.38
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,,,,,,11.6,,,7.79,27.8,,47.19,13.51,,,,,,,,,,,13.51,13.51,,,,,11.6,,,7.79,27.8,,60.7
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,,,,,,46.33,2.19,22.58,73.36,23.71,,168.17,,,,45.21,133.87,,,,,,,179.08,,,,45.21,133.87,46.33,2.19,22.58,73.36,23.71,,347.25
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,,,,,,6.21,,69.49,4.89,47.42,,128.01,,,,,,,,,,,,0,,,,,,6.21,,69.49,4.89,47.42,,128.01
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,,0.24,,,,,,,,176.26,,176.5,,,11.68,80.53,,,,,,,,92.21,,0.24,11.68,80.53,,,,,,176.26,,268.71
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,,,,,,,,,6.11,54.75,,60.86,,,,,11.47,,,,,,,11.47,,,,,11.47,,,,6.11,54.75,,72.33
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,,,,,,2.31,36.04,2.3,98.76,577.01,,716.42,,,148.63,6.76,193.37,3.85,,,,0.01,,352.62,,,148.63,6.76,193.37,6.16,36.04,2.3,98.76,577.02,,1069.04
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,,,,,,,,,,6.57,,6.57,,,,,,,,,,,,0,,,,,,,,,,6.57,,6.57
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,,,,,,0.3,0.57,10.36,4.38,1227.42,,1243.03,,43.14,375.27,,76.16,0.11,0.17,0.11,,,,494.96,,43.14,375.27,,76.16,0.41,0.74,10.47,4.38,1227.42,,1737.99
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,,,,,,,4.86,122.12,96.1,19.74,,242.82,,,,,52.03,,,2.95,,,,54.98,,,,,52.03,,4.86,125.07,96.1,19.74,,297.8
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,,,,,,12.85,,,4.81,0.17,,17.83,,,,6.38,,,,,,,,6.38,,,,6.38,,12.85,,,4.81,0.17,,24.21
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,,,,,,6.89,15.73,143.56,14.52,7.96,,188.66,,,,103.34,42.67,,,,,,,146.01,,,,103.34,42.67,6.89,15.73,143.56,14.52,7.96,,334.67
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,,,,,,,,,,0.08,,0.08,,,,,,,,,,,,0,,,,,,,,,,0.08,,0.08
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,,,,,,,,,,0.18,,0.18,,,,,,,,,,,,0,,,,,,,,,,0.18,,0.18
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,,,,,,,,,0.08,14.64,,14.72,,,4.21,,10.78,,,,,,,14.99,,,4.21,,10.78,,,,0.08,14.64,,29.71
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,,,,,,5.33,6.25,21.26,0.28,0.01,,33.13,,,6.21,,13.66,,,,,,,19.87,,,6.21,,13.66,5.33,6.25,21.26,0.28,0.01,,53
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MONTANA,,,,,,,,,4.07,,,4.07,,,,,,,,,,,,0,,,,,,,,,4.07,,,4.07
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0,0,0,0,0,0,0,16.78,0,30.69,,47.47,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16.78,0,30.69,,47.47
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,,,,0.1,,89.88,14.39,13.72,53.1,163.95,,335.14,,,71.26,19.72,25.75,,,,,,,116.73,,,71.26,19.82,25.75,89.88,14.39,13.72,53.1,163.95,,451.87
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,0.01,,,0.02,,100.09,6.99,34.34,50.96,1528.43,,1720.84,,0.52,114.17,81.22,63.28,1.33,,,,,,260.52,0.01,0.52,114.17,81.24,63.28,101.42,6.99,34.34,50.96,1528.43,,1981.36
