DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQUNKWNHF,PARTQPRE40HF,PARTQ1940HF,PARTQ1950HF,PARTQ1960HF,PARTQ1970HF,PARTQ1980HF,PARTQ1990HF,PARTQ2000HF,PARTQ2010HF,PARTQ2020HF,PARTQTOTALHF,PARTQUNKWNLF,PARTQPRE40LF,PARTQ1940LF,PARTQ1950LF,PARTQ1960LF,PARTQ1970LF,PARTQ1980LF,PARTQ1990LF,PARTQ2000LF,PARTQ2010LF,PARTQ2020LF,PARTQTOTALLF,PARTQUNKWNTOTAL,PARTQPRE40TOTAL,PARTQ1940TOTAL,PARTQ1950TOTAL,PARTQ1960TOTAL,PARTQ1970TOTAL,PARTQ1980TOTAL,PARTQ1990TOTAL,PARTQ2000TOTAL,PARTQ2010TOTAL,PARTQ2020TOTAL,PARTQTOTAL
3/1/2022,2020,20210071,18129,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,12.91,0,12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,0,12.91
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,,,,,,11.2,0.38,12.62,,19.22,,43.42,,,,4.8,,,,,,,,4.8,,,,4.8,,11.2,0.38,12.62,,19.22,,48.22
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,,,,,,,,,,282.91,,282.91,,,,,,,,,,,,0,,,,,,,,,,282.91,,282.91
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,,,,,,,6.38,,,10.52,,16.9,,,,,,,,,,,,0,,,,,,,6.38,,,10.52,,16.9
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,,,,,,,0.09,0.34,0.11,,,0.54,,,,1.19,1.51,,,,,,,2.7,,,,1.19,1.51,,0.09,0.34,0.11,,,3.24
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,,,,,,,9.22,10.72,4.24,51.14,0.06,75.38,,,,,9.3,,,,,,,9.3,,,,,9.3,,9.22,10.72,4.24,51.14,0.06,84.68
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,,,,,,11.6,,,7.78,28.23,,47.61,,13.13,,,,,,,,,,13.13,,13.13,,,,11.6,,,7.78,28.23,,60.74
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,,,,,,46.37,2.19,22.63,73.39,23.75,0.13,168.46,,,,45.22,133.91,,,,,,,179.13,,,,45.22,133.91,46.37,2.19,22.63,73.39,23.75,0.13,347.59
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,,,,,,6.21,,69.4,4.89,47.43,,127.93,,,,,,,,,,,,0,,,,,,6.21,,69.4,4.89,47.43,,127.93
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,,0.24,,,,,,,,185.76,28.04,214.04,,,11.64,80.37,,,,,,,,92.01,,0.24,11.64,80.37,,,,,,185.76,28.04,306.05
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,,,,,,,,,6.1,54.77,,60.87,,,,,11.61,,,,,,,11.61,,,,,11.61,,,,6.1,54.77,,72.48
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,,,5.82,,0.26,2.28,27.31,0.67,96.67,564.25,1.74,699,,,142.95,0.02,212.19,3.8,,,,0.01,,358.97,,,148.77,0.02,212.45,6.08,27.31,0.67,96.67,564.26,1.74,1057.97
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,,,,,,,,,,6.58,,6.58,,,,,,,,,,,,0,,,,,,,,,,6.58,,6.58
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,,,,,,0.3,5.47,10.37,4.41,1293.31,,1313.86,,42.77,370.19,,75.66,0.11,0.17,0.11,,,,489.01,,42.77,370.19,,75.66,0.41,5.64,10.48,4.41,1293.31,,1802.87
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,,,,,,,4.86,122.07,96.09,19.96,,242.98,,,,,52.17,,,2.96,,,,55.13,,,,,52.17,,4.86,125.03,96.09,19.96,,298.11
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,,,,,,12.86,,,4.82,0.17,,17.85,,,,6.38,,,,,,,,6.38,,,,6.38,,12.86,,,4.82,0.17,,24.23
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,,,,,,6.8,13.41,143.09,14.54,8.13,,185.97,,,,94.26,42.25,,,,,,,136.51,,,,94.26,42.25,6.8,13.41,143.09,14.54,8.13,,322.48
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,,,,,,,,,,0.08,,0.08,,,,,,,,,,,,0,,,,,,,,,,0.08,,0.08
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,,,,,,,,,,0.85,,0.85,,,,,,,,,,,,0,,,,,,,,,,0.85,,0.85
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,,,,,,,,,0.07,14.74,0.01,14.82,,,4.1,,,,,,,,,4.1,,,4.1,,,,,,0.07,14.74,0.01,18.92
