DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTF1A,PARTF1B,PARTF1C,PARTF1D,PARTF1DOTH,PARTF1E,PARTF2A1,PARTF2A2,PARTF2A,PARTF2B,PARTF2BHCAOUTSIDE,PARTF2B1,PARTF2B2,PARTF2C1,PARTF2C2,PARTF2C3,PARTF2C4,PARTF2CTOT,PARTF3A,PARTF3B,PARTF3BHCAOUTSIDE,PARTF3C,PARTF3D,PARTF4A,PARTF4A1TOT,PARTF4A11,PARTF4A12,PARTF4B,PARTF4BHCAOUTSIDE,PARTF4B1,PARTF4B2,PARTF4C1,PARTF4C2,PARTF4C3,PARTF4C4,PARTF4CTOT,PARTF5A,PARTF5AOTH,PARTF5A11,PARTF5A12,PARTF5A1TOT,PARTF5B,PARTF5BHCAOUTSIDE,PARTF5B1,PARTF5B2,PARTF5C1,PARTF5C2,PARTF5C3,PARTF5C4,PARTF5CTOT,PARTF6A,PARTF6B,PARTF6BHCAOUTSIDE,PARTF6C,PARTF6D,PARTF6E,PARTF6F,PARTF6G,PARTGMBA,PARTGMRC,PARTGTOTMILES,PARTG1A,PARTG1B,PARTG1TOTMILES
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,,929.89,962.75,123.88,0,,2016.52,,,1284,932,,,,4,22,55,,81,399.96,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,2416.48,932,,81,0,0,,,42.99,256.54,299.53,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,22.38,22.38,11.21,0,,55.97,,,28,7,,,,0,1,2,,3,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,55.97,7,,3,0,0,,,0,19.21,19.21,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,241.96,125.2,41.9,0,,409.06,,,439,130,,,,1,0,99,,100,0.38,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,409.44,130,,100,0,0,,,0,209.54,209.54,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,26.31,26.31,0,0,,52.62,,,152,149,,,,0,6,0,,6,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,52.62,149,,6,0,0,,,0,0.89,0.89,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,67.21,67.21,0,0,,134.42,,,155,113,,,,2,0,2,,4,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,134.42,113,,4,0,0,,,0,13.9,13.9,,,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,133.49,293.52,171.52,0,,598.53,,,1351,1182,,,,2,0,1,,3,117.98,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,716.51,1182,,3,0,0,,,3.69,23.3,26.99,,,
3/1/2022,2018,20190339,16762,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,,0,0,0,0,,0,,,3,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190339,16762,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,9.16,9.16,0,0,,18.32,,,3,1,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,18.32,1,,0,0,0,,,0,0.26,0.26,,,
3/1/2022,2018,20190070,16463,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,,214,211.7,0,0,,425.7,,,44,22,,,,0,0,11,,11,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,425.7,22,,11,2,0,,,0,97.1,97.1,,,
3/1/2022,2018,20190418,17232,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,COLORADO,11.91,11.91,0,0,,23.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.82,,,,,,,,11.91,,11.91,,,
3/1/2022,2018,20190092,16486,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,,0,0,0,0,,0,,,5,2,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,2,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190580,17174,879,CHEMOIL TERMINALS CORP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,5.76,5.76,,,
3/1/2022,2018,20190282,16700,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",HVL,INTRASTATE,TEXAS,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190283,16701,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190297,16717,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190567,16998,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,,96.86,96.86,0,0,,193.72,,,7,2,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,193.72,2,,0,0,0,,,0,10.42,10.42,,,
3/1/2022,2018,20190262,16679,1541,"BP PIPELINES (ALASKA), INC",Crude Oil,INTRASTATE,ALASKA,6.1,6.1,,,,12.2,,,101,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,12.2,0,,0,0,0,,,0,6.1,6.1,,,
3/1/2022,2018,20190414,16845,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,,3.183,3.183,0,0,,6.366,,,0,0,,,,0,0,0,,0,0.02,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,6.386,0,,0,0,0,,,0,0.488,0.488,,,
3/1/2022,2018,20190414,16845,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,INDIANA,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190414,16845,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,,,,,,
3/1/2022,2018,20190399,16826,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0.46,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0.46,0,,0,0,0,,,0,0.46,0.46,,,
3/1/2022,2018,20190399,16826,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2018,20190400,16827,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,,1018,1228,598,102,XYZ Mapping,2946,,,557,526,,,,30,14,88,,132,11,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,2957,526,,132,19,0,,,6,1112,1118,,,
