DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTF1A,PARTF1B,PARTF1C,PARTF1D,PARTF1DOTH,PARTF1E,PARTF2A1,PARTF2A2,PARTF2A,PARTF2B,PARTF2BHCAOUTSIDE,PARTF2B1,PARTF2B2,PARTF2C1,PARTF2C2,PARTF2C3,PARTF2C4,PARTF2CTOT,PARTF3A,PARTF3B,PARTF3BHCAOUTSIDE,PARTF3C,PARTF3D,PARTF4A,PARTF4A1TOT,PARTF4A11,PARTF4A12,PARTF4B,PARTF4BHCAOUTSIDE,PARTF4B1,PARTF4B2,PARTF4C1,PARTF4C2,PARTF4C3,PARTF4C4,PARTF4CTOT,PARTF5A,PARTF5AOTH,PARTF5A11,PARTF5A12,PARTF5A1TOT,PARTF5B,PARTF5BHCAOUTSIDE,PARTF5B1,PARTF5B2,PARTF5C1,PARTF5C2,PARTF5C3,PARTF5C4,PARTF5CTOT,PARTF6A,PARTF6B,PARTF6BHCAOUTSIDE,PARTF6C,PARTF6D,PARTF6E,PARTF6F,PARTF6G,PARTGMBA,PARTGMRC,PARTGTOTMILES,PARTG1A,PARTG1B,PARTG1TOTMILES
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,COLORADO,0,0,0,0,,0,,,54,22,,,,1,0,1,,2,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,22,,2,2,0,,,0,0,0,,,
3/1/2022,2019,20200232,17456,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.24,0,,,,,,,,,,,,
3/1/2022,2019,20200508,17752,879,CHEMOIL TERMINALS CORP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,3.24,3.24,,,,6.48,,,0,0,,,,0,0,0,,0,0.12,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,6.6,0,,0,0,0,,,0,6.6,6.6,,,
3/1/2022,2019,20200175,17398,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,,,,,,,,,,,,,,,,,,,1.7,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0,,0,,,,,0,1.7,1.7,,,
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,,9.4,9.4,0,0,,18.8,,,5,5,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,18.8,5,,0,0,0,,,0,4.44,4.44,,,
3/1/2022,2019,20200269,17494,1541,"BP PIPELINES (ALASKA), INC",Crude Oil,INTRASTATE,ALASKA,0,0,0,0,GUL Inspection,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0.078,GUL Inspection,,,,0,,,,0,0,0,,0,0.078,0,,0,0,0,,,0,0.078,0.078,,,
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,,1.6,1.6,0,0,,3.2,,,2,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,3.2,0,,0,0,0,,,0,1.64,1.64,,,
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,2.1,2.1,0,0,,4.2,,,0,0,,,,0,0,0,,0,1.8,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,6,0,,0,0,0,,,0,3.21,3.21,,,
3/1/2022,2019,20200581,17828,1845,"BUCKEYE PARTNERS, LP",Fuel Grade Ethanol (dedicated system),INTERSTATE,,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,,,,,,
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,,,,,0,0,0,,,
