DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTIUNKWN,PARTIPRE20,PARTI192029,PARTI193039,PARTI194049,PARTI195059,PARTI196069,PARTI197079,PARTI198089,PARTI199099,PARTI200009,PARTI201019,PARTI202029,PARTITOTAL
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,0,0,0,0,0,4.8,0,11.2,0.38,12.6,2.4,21.25,,52.63
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,0,0,0,0,0,0,0,0,0,0,0,282.15,,282.15
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,CALIFORNIA,0,0,0,0,0,0,0,0,126.4,10.4,0.26,0.15,,137.21
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0,0,0,0,147.42,0,0.04,0.1,6.87,0.26,0.03,13.35,,168.07
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,0,0,0,0,0,56.16,1.5,0,0.09,0.66,0.1,0,,58.51
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,0,0,0,0,0,0,9.34,0,9.28,10.73,4.34,50.65,,84.34
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,0,0,0,13.51,0.03,14.63,0,0,0,12.35,85.36,27.79,,153.67
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,0,0,0,0,69.19,45.2,170.29,29.73,2.24,57.16,96.57,22.26,,492.64
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,0,0,0,0,0,0,0,6.28,0,69.47,4.89,47.36,,128
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,0,0,0,0.24,11.68,81.25,0,0,0,0,5.61,133.87,,232.65
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,0,0,0,0,0,0,11.28,0,0,0,5.07,34.23,,50.58
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,0,0,0.68,70.31,201.9,14.19,215.55,7.64,30.66,4.36,168.82,566.72,,1280.83
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,0,0,0,0,0,0,0,0,0,0,0,6.33,,6.33
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,0,0,0,43.15,393.78,96.57,77.99,4.11,0.79,10.71,31.12,456.02,,1114.24
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,UTAH,0,0,0,1.15,0,0,0,0,0,0,0,0,,1.15
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,0,0,0,335.76,163.75,19.46,109.78,0.09,10.48,267.18,98.61,24.47,,1029.58
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,0,0,0,0,0,6.37,0,12.35,0,,4.81,0.17,,23.7
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,0,0,4.72,1.42,19.88,175.1,50.89,10.15,18.82,156.7,18.57,6.68,,462.93
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,0,0,0,0,0,0,0,0,0,0,0,2.39,,2.39
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,0,0,0,0,0,15.69,0,0,0,0,0,0.04,,15.73
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,0,0,0,0,48.98,0,37.01,0,0,0,3.41,6.51,,95.91
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,0,0,0,0,5.95,0,13.66,6.16,6.15,21.28,0.44,0,,53.64
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MONTANA,0,0,0,0,0,0,0,0,0,0,4.07,,,4.07
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0,,0,12.52,39.52,61.08,18.24,2.45,0,16.77,15,22.82,,188.4
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NORTH DAKOTA,0,0,0,0,0,0,0,0,0,0,1.03,24.87,,25.9
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,0,0,5.69,11.84,102.59,134.09,26.57,87.24,17.29,13.77,115.2,162.14,,676.42
3/1/2022,2017,20183395,17994,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,0,0,420.44,69.23,300.38,307.62,76.33,164.22,8.69,37.55,25.61,1245.74,,2655.81
3/1/2022,2017,20183396,15929,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,MICHIGAN,0,0,0,0,0,0,0,55.33,0,0.01,0,0.01,,55.35
3/1/2022,2017,20183396,15929,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,43.02,,43.02
3/1/2022,2017,20183396,15929,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,9.09,,9.09
3/1/2022,2017,20183397,15930,300,"PLAINS PIPELINE, L.P.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,0,3.72,0,0,0,0,0,0,0,0,0,,3.72
3/1/2022,2017,20183032,15515,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,0,0,12.1,19.3,178.9,38.3,4.5,0.8,15.6,2.4,0.9,0,,272.8
3/1/2022,2017,20183032,15515,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,0,0,9.8,5.6,150.8,78.5,1.9,1.8,3.5,2.4,3.1,0.5,,257.9
3/1/2022,2017,20183032,15515,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,0,,0,0,121,0.1,0,0,0,0.1,0.1,0,,121.3
3/1/2022,2017,20183032,15515,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0,,0,0,0,161.1,0.1,0.5,0.2,0.1,0.1,0.4,,162.5
3/1/2022,2017,20183032,15515,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MINNESOTA,0,,0,0,123.3,0.5,0.3,0.2,0.1,0.9,0.9,0,,126.2
3/1/2022,2017,20183032,15515,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0,,0,0,154.7,0.9,0.1,0.2,0.4,54.9,0.3,0,,211.5
3/1/2022,2017,20183332,15859,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC",HVL,INTRASTATE,TEXAS,0,,0,0,0,0,0,0,0,0,49.3,0,,49.3
3/1/2022,2017,20183457,15992,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,COLORADO,,,,,,,,,,,,75.25,,75.25
3/1/2022,2017,20183457,15992,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,TEXAS,,,,,,,,,,,,46,,46
3/1/2022,2017,20183457,15992,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,WYOMING,,,,,,,43,4,,,,,,47
3/1/2022,2017,20183456,15991,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,COLORADO,,,,,,,,,,,,11.9,,11.9
3/1/2022,2017,20183456,15991,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,UTAH,,,,,,,,,,,16.5,14.8,,31.3
3/1/2022,2017,20183456,15991,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,WYOMING,,,,,,,,,2,2,,,,4
3/1/2022,2017,20183128,15632,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,NORTH DAKOTA,,,,,,,,,,164.55,2.22,0.27,,167.04
3/1/2022,2017,20183328,16311,879,CHEMOIL TERMINALS CORP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,,,5.155,0.265,0,2.162,3.972,5.181,0,0.384,4.222,4.387,,25.728
3/1/2022,2017,20183369,16270,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Crude Oil,INTERSTATE,OCS-Gulf of Mexico,0,0,0,0,0,0,0,,0,0,7,17.43,,24.43
3/1/2022,2017,20183371,15898,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",HVL,INTRASTATE,TEXAS,0,,0,0,0,0,26.7,1.26,1.05,0,0.03,0.13,,29.17
3/1/2022,2017,20183370,15897,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,,0,0,0,0,15,0.09,0.14,0.09,0,0,,15.32
3/1/2022,2017,20183008,15482,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,,,,,,,1.7,,,,,,,1.7
