DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTJST20MOREON,PARTJST20MOREOFF,PARTJST20MORETOT,PARTJSTNR20LESSON,PARTJSTR20LESSON,PARTJST20LESSOFF,PARTJST20LESSLOW,PARTJST20LESSTOT,PARTJSTNR_UNK_ON,PARTJSTR_UNK_ON,PARTJST_UNK_OFF,PARTJST_UNK_LOW,PARTJST_UNK_TOT,PARTJNSNR125MOREON,PARTJNSR125MOREON,PARTJNS125MOREOFF,PARTJNSNR125MORETOT,PARTJNSNR125LESSON,PARTJNSR125LESSON,PARTJNS125LESSOFF,PARTJNS125LESSLOW,PARTJNSNR125LESSTOT,PARTJONTOTAL,PARTJOFFTOTAL,PARTJRLSTOTAL,PARTJTOTAL
3/1/2022,2020,20210071,18129,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,12.91,,12.91,,,,,,,,,,,,,,,,,,,,12.91,,,12.91
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,53.04,,53.04,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,53.04,,,53.04
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,282.97,,282.97,,,,,,,,,,,,,,,,,,,,282.97,,,282.97
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,16.92,,16.92,,,,,,,,,,,,,,,,,,,,16.92,,,16.92
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,58.53,,58.53,,,,,,,,,,,,,,,,,,,,58.53,,,58.53
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,84.68,,84.68,,,,,,,,,,,,,,,,,,,,84.68,,,84.68
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,153.79,,153.79,,,,,,,,,,,,,,,,,,,,153.79,,,153.79
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,493.19,,493.19,0.38,,,,0.38,,,,,,,,,,,,,,,493.57,,,493.57
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,127.93,,127.93,,,,,,,,,,,,,,,,,,,,127.93,,,127.93
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,312.3,,312.3,,,,,,,,,,,,,,,,,,,,312.3,,,312.3
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,72.49,,72.49,,,,,,,,,,,,,,,,,,,,72.49,,,72.49
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,1120.59,,1120.59,,,,,,,,,,,,,,,,,,,,1120.59,,,1120.59
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,6.59,,6.59,,,,,,,,,,,,,,,,,,,,6.59,,,6.59
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,1981.69,,1981.69,1.82,,,,1.82,,,,,,,,,,,,,,,1983.51,,,1983.51
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,551.07,,551.07,0.63,0.49,,,1.12,,,,,,,,,,,,,,,552.19,,,552.19
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,24.24,,24.24,,,,,,,,,,,,,,,,,,,,24.24,,,24.24
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,563.82,,563.82,0.75,,,,0.75,,,,,,,,,,,,,,,564.57,,,564.57
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,2.38,,2.38,,,,,,,,,,,,,,,,,,,,2.38,,,2.38
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,16.41,,16.41,,,,,,,,,,,,,,,,,,,,16.41,,,16.41
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,96.39,,96.39,,,,,,,,,,,,,,,,,,,,96.39,,,96.39
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,53.9,,53.9,,,,,,,,,,,,,,,,,,,,53.9,,,53.9
