DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTHON4LESS,PARTHON6,PARTHON8,PARTHON10,PARTHON12,PARTHON14,PARTHON16,PARTHON18,PARTHON20,PARTHON22,PARTHON24,PARTHON26,PARTHON28,PARTHON30,PARTHON32,PARTHON34,PARTHON36,PARTHON38,PARTHON40,PARTHON42,PARTHON44,PARTHON46,PARTHON48,PARTHON50,PARTHON52,PARTHON54,PARTHON56,PARTHON58OVER,PARTHON_OTHER_PIPE_DETAIL,PARTHON_OTHER_PIPE_MILE_TOTAL,PARTHONTOTAL,PARTHOFF4LESS,PARTHOFF6,PARTHOFF8,PARTHOFF10,PARTHOFF12,PARTHOFF14,PARTHOFF16,PARTHOFF18,PARTHOFF20,PARTHOFF22,PARTHOFF24,PARTHOFF26,PARTHOFF28,PARTHOFF30,PARTHOFF32,PARTHOFF34,PARTHOFF36,PARTHOFF38,PARTHOFF40,PARTHOFF42,PARTHOFF44,PARTHOFF46,PARTHOFF48,PARTHOFF50,PARTHOFF52,PARTHOFF54,PARTHOFF56,PARTHOFF58OVER,PARTHOFF_OTHER_PIPE_DETAIL,PARTHOFF_OTHER_PIPE_MILE_TOTAL,PARTHOFFTOTAL
3/1/2022,2018,20190322,16745,18718,SUNOCO PIPELINE L.P.,Crude Oil,INTERSTATE,PENNSYLVANIA,0,0,0,0.28,0,0,4.13,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190322,16745,18718,SUNOCO PIPELINE L.P.,Crude Oil,INTERSTATE,TEXAS,0,0,0,681.06,238.47,0,81.31,0,0,0,21.05,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1026.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190322,16745,18718,SUNOCO PIPELINE L.P.,Crude Oil,INTRASTATE,OKLAHOMA,58.32,110.18,130.72,110.95,96.24,0,0.25,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-inch diameter: 4.06 miles, 7-inch diameter: 7.69 miles.",11.75,522.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190322,16745,18718,SUNOCO PIPELINE L.P.,Crude Oil,INTRASTATE,TEXAS,5.04,122.16,397.45,531.12,314.28,0,90.14,0,0.76,0,0,0,0,16.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-inch diameter: 4.64 miles.,4.64,1481.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTERSTATE,DELAWARE,1.3,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTERSTATE,MICHIGAN,2.48,40.01,122.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,165.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTERSTATE,NEW JERSEY,11.55,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTERSTATE,OHIO,0,9.44,164.64,54.59,5.97,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,265.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTERSTATE,PENNSYLVANIA,1.11,5.55,272.88,64.49,85.11,0,0,0,17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,446.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTERSTATE,WEST VIRGINIA,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190320,16743,18718,SUNOCO PIPELINE L.P.,HVL,INTRASTATE,TEXAS,1.17,0,18.43,3.67,0,52.91,44.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,120.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,0.41,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0.01,7.77,44.94,0,0.18,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,53.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,0,23.12,1.16,0.09,12.36,57.97,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,99.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,0,0.1,162.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,162.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,OHIO,2.44,12.82,99.31,17.34,164.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,296.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,5.01,154.03,215.39,37,63.64,134.29,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,615.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,MASSACHUSETTS,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190321,16744,18718,SUNOCO PIPELINE L.P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,1.93,3.77,353.1,1.53,480.43,12.09,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,876.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190089,16483,19102,ENERGEN RESOURCES CORP.,CO2,INTRASTATE,TEXAS,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190392,16819,19319,"TPC GROUP, LLC",HVL,INTRASTATE,LOUISIANA,1.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190392,16819,19319,"TPC GROUP, LLC",HVL,INTRASTATE,TEXAS,52.56,37.994,22.796,6.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,119.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190393,16820,19319,"TPC GROUP, LLC",Refined and/or Petroleum Product (non-HVL),INTRASTATE,LOUISIANA,0.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190393,16820,19319,"TPC GROUP, LLC",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,2.614,13.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190290,16708,19410,THUMS LONG BEACH CO,Crude Oil,INTRASTATE,CALIFORNIA,0,0,0.01,0,0.6,0.08,1.23,0,1.19,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.45,0,1.5,3.81,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10.19
3/1/2022,2018,20190538,16969,19481,T & M TERMINAL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,,,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190434,16865,19585,TRANS MOUNTAIN PIPELINE (PUGET SOUND) LLC,Crude Oil,INTERSTATE,WASHINGTON,0,0,0,0,0,0,21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190083,16477,19892,UCAR PIPELINE INCORPORATED,HVL,INTRASTATE,LOUISIANA,0.26,1.45,68.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20193688,16345,20046,UNION CARBIDE CHEMICALS & PLASTICS CO INC,HVL,INTRASTATE,WEST VIRGINIA,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190619,17051,20202,ULTRAMAR INC,Crude Oil,INTRASTATE,CALIFORNIA,0.03,0.02,2.32,1.61,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190620,17052,20202,ULTRAMAR INC,HVL,INTRASTATE,CALIFORNIA,0,3.79,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190621,17053,20202,ULTRAMAR INC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0.04,5.41,11.47,1.62,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3/1/2022,2018,20190506,16937,21359,SASOL CHEMICALS USA LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,LOUISIANA,3.002,5.27,1.978,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
