DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLHIGHPOPON,PARTLOTHPOPON,PARTLDWON,PARTLECRESON,PARTLCNAVWON,PARTLSEGMILESTOTALON,PARTLECRESOFF,PARTLCNAVWOFF,PARTLSEGMILESTOTALOFF
3/1/2022,2020,20210071,18129,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,4.42,7.3,0,0,0,11.72,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,28.31,26.64,13.07,31.83,25.34,38.61,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,0.3,137.15,99.33,101.88,72.66,170.97,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0,0,0,1.12,0,1.12,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,20.21,32.18,39.14,23.12,5.82,43.34,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,0,2.21,8.7,20.79,0,28.66,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,14.52,11.23,15.93,11.01,1.1,19.33,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,11.9,76.94,34.5,136.28,23.2,164.65,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,22.13,52.82,40.36,4.94,0,57.58,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,0,4.08,0.19,23.25,0,24.15,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,0,10.8,13.01,17.9,0,22.78,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,65.98,479.07,195.9,257.97,104.38,605.07,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,1.23,6.47,0.56,1.33,2.5,6.62,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,82.67,429.11,440.42,394.07,6.94,873.7,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,18.77,141.6,47.29,55.1,0,197.06,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,12.74,15.04,0.71,7.18,6.79,20.3,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,133.59,105.75,149.21,199.88,87.81,223.85,,,
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,,,,,,,,,
