DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTPONCPB,PARTPONCPC,PARTPONCUB,PARTPONCUC,PARTPONCUP,PARTPONCUO,PARTPONTOTAL,PARTPOFFCPB,PARTPOFFCPC,PARTPOFFCUB,PARTPOFFCUC,PARTPOFFCUP,PARTPOFFCUO,PARTPOFFTOTAL,PARTPCPBTOTAL,PARTPCPCTOTAL,PARTPCUBTOTAL,PARTPCUCTOTAL,PARTPCUPTOTAL,PARTPCUOTOTAL,PARTPTOTMILES,PARTPOTHER
3/1/2022,2018,20190009,16365,26045,"PAR HAWAII REFINING, LLC",Refined and/or Petroleum Product (non-HVL),INTRASTATE,HAWAII,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,24,
3/1/2022,2018,20190517,16948,26048,HUNT REFINING CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,0,47.44,0,0,0,0,47.44,0,0,0,0,0,0,0,0,47.44,0,0,0,0,47.44,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTERSTATE,ILLINOIS,3.9,143.6,0,0,0,0,147.5,0,0,0,0,0,0,0,3.9,143.6,0,0,0,0,147.5,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTERSTATE,INDIANA,9.2,29.3,0,0,0,0,38.5,0,0,0,0,0,0,0,9.2,29.3,0,0,0,0,38.5,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTERSTATE,KENTUCKY,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTRASTATE,ILLINOIS,0,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.06,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTRASTATE,INDIANA,0,28.3,0,0,0,0,28.3,0,0,0,0,0,0,0,0,28.3,0,0,0,0,28.3,
3/1/2022,2018,20190382,16809,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Refined and/or Petroleum Product (non-HVL),INTRASTATE,INDIANA,0,247.1,0,0,0,0,247.1,0,0,0,0,0,0,0,0,247.1,0,0,0,0,247.1,
3/1/2022,2018,20190255,16668,26054,KEY WEST PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,0,3,0,0,0,0,3,0,4,0,0,0,0,4,0,7,0,0,0,0,7,
3/1/2022,2018,20190198,16609,26061,"DELEK CRUDE LOGISTICS, LLC.",Crude Oil,INTERSTATE,OKLAHOMA,0,39.72,0,0,0,0,39.72,0,0,0,0,0,0,0,0,39.72,0,0,0,0,39.72,
