DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLHIGHPOPON,PARTLOTHPOPON,PARTLDWON,PARTLECRESON,PARTLCNAVWON,PARTLSEGMILESTOTALON,PARTLECRESOFF,PARTLCNAVWOFF,PARTLSEGMILESTOTALOFF
3/1/2022,2019,20200263,17488,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,4.42,7.3,0,0,0,11.72,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,18.23,15.04,21.27,23.35,9.17,32.75,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,0.24,57.85,43.29,71.86,36.02,126.88,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0,0,0,2.94,0,2.94,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,11.13,12.12,17.89,8.74,3.14,27.21,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,0,1.42,6.77,13.4,0,19.9,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,10,3,9.89,0,1.23,15.53,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,7.1,32.66,4.93,168.01,9.74,171.94,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,11.86,17.98,24.38,7.03,0,29.75,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,0,0.95,0,11.03,0,11.88,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,0,3.13,8.98,17.6,0,21.3,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,11.07,265.1,242.23,176.77,42.43,436.61,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,1.59,6.52,0,1.76,2.62,6.57,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,26.98,121.43,121.56,133.81,1.05,339.24,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,12.38,78.54,68.87,23.76,0,144.01,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,10,15.19,9.12,14.26,2.58,20.65,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,132.17,24.31,70.18,133.73,5.39,235.96,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,0,0,0,0,0,0,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,0,0,0,0,0,0,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,0,2.59,1.31,6.98,0.6,10.48,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,0,0.39,0,3.36,0,3.57,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MONTANA,0,0,0,0,0,0,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0,11.02,0.8,4.52,0,15.54,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NORTH DAKOTA,,,,,,,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,0,35.7,47.48,40,0,69.92,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,38.1,124.19,90.61,142.97,3.18,280.04,,,
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,MICHIGAN,25.59,4.65,0,21.73,8.3,25.59,,,
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,CALIFORNIA,0,0,0,23.18,0,23.18,,,
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,0,0.26,0,0,0,0.26,,,
3/1/2022,2019,20200338,17568,300,"PLAINS PIPELINE, L.P.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,0,0,0,0,0,,,
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,98.9,100.5,9.3,38.2,22.6,176.3,,,
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,159.3,148.8,132.3,100.7,4.4,239,,,
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,5.4,43.2,0,4.7,4,44.3,,,
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,46.1,49.4,5.5,35.2,1.4,89.1,,,
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MINNESOTA,26.5,42.1,7.3,27.7,4.7,73.6,,,
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0.7,33.4,18.8,36.4,9.5,62.2,,,
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,COLORADO,19.09,67.75,29.16,18.29,0,130.22,,,
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,TEXAS,1.8,0,0,3.58,0,5.38,,,
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,WYOMING,0,1,0,11,0,12,,,
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,COLORADO,7.04,16.17,30.97,3.73,0,57.91,,,
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,TEXAS,,,,,,,,,
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,UTAH,,,,,,,,,
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,WYOMING,,,,,,,,,
3/1/2022,2019,20200232,17456,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,NORTH DAKOTA,0,30,0.26,2.64,0,32.9,,,
3/1/2022,2019,20200508,17752,879,CHEMOIL TERMINALS CORP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,11.9,,,10.7,11.9,11.9,,,
3/1/2022,2019,20200367,17600,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Crude Oil,INTERSTATE,OCS-Gulf of Mexico,,,,,,,0,0,0
3/1/2022,2019,20200175,17398,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,1.7,0,0,0,0,1.7,,,
3/1/2022,2019,20200666,17927,1047,HESS CORPORATION,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,0,0,0,0,0,0,,,
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,0,4,0,0,0,4,,,
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,NORTH DAKOTA,0,1,0,28,0,28,,,
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,0,6,0,0,0,6,,,
3/1/2022,2019,20200527,17771,1248,BELLE FOURCHE PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WYOMING,0,0,0,0,0,0,,,
3/1/2022,2019,20200269,17494,1541,"BP PIPELINES (ALASKA), INC",Crude Oil,INTRASTATE,ALASKA,0,34.4,34.4,25.7,0,34.4,,,
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,INDIANA,1.641,0,0,0,0,1.641,,,
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,OHIO,1.168,0,0,0,0,1.168,,,
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,3.214,1.837,0.488,0.621,0.016,3.702,,,
3/1/2022,2019,20200581,17828,1845,"BUCKEYE PARTNERS, LP",Fuel Grade Ethanol (dedicated system),INTERSTATE,FLORIDA,1.722,0.341,0,0,0,1.722,,,
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,FLORIDA,1.733,0.82,0,0,0,1.733,,,
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,ILLINOIS,6.916,7.067,0.46,0,0,9.575,,,
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,INDIANA,1.203,0.61,0.394,0.61,0,1.813,,,
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,OHIO,0.928,0,0,0,0,0.928,,,
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,16.542,7.752,3.377,6.596,7.624,16.735,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,CONNECTICUT,86.938,15.045,15.264,45.479,19.717,89.536,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,198.884,184.771,208.599,91.851,17.12,399.586,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,348.475,369.585,251.963,267.122,4.041,623.146,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,20.1,61.071,24.115,25.913,2.198,98.283,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MAINE,26.117,35.718,11.159,9.591,4.54,51.222,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MASSACHUSETTS,20.949,0.958,4.778,6.727,1.854,20.949,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,274.526,65.636,11.813,151.566,19.716,326.404,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,38.267,59.028,46.758,16.332,4.546,104.923,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,130.254,46.265,88.716,12.914,26.837,138.245,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,239.258,144.608,155.039,19.232,72.021,370.007,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,OHIO,362.713,352.247,495.102,111.29,25.422,790.665,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,593.215,291.783,540.883,291.636,48.988,856.008,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,1.98,0,0,0,0,1.98,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,IOWA,0.073,0,0.073,0.073,0,0.073,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,0.234,0,0,0,0,0.234,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,6.067,1.379,0,2.607,0,6.067,,,
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,0,1,0,18,0,19,,,
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,0,8,0,0,0,8,,,
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,LOUISIANA,17.23,19.87,0,0,5.37,39.06,,,
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,TEXAS,9.99,16.45,0,3.02,1,25.02,,,
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MONTANA,16.91,62.88,141.45,112.14,0,156.19,,,
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH DAKOTA,2.27,21.28,23.22,31.78,0,58.72,,,
3/1/2022,2019,20200146,17369,2190,CENTRAL FLORIDA PIPELINE CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,136.57,90,70.16,75.76,31.1,185.31,,,
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,LOUISIANA,5.883,3.98,6.359,3.146,1.252,12.031,,,
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,TEXAS,23.876,32.243,18.336,13.467,0.48,46.998,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ALABAMA,58.29,250.59,111.6,317.24,129.3,376.71,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,2.3,0,0.54,0.72,1.81,2.89,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,GEORGIA,667.8,522.06,485.28,668.31,66.01,850.01,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,LOUISIANA,160.45,287.32,233.4,201.76,281.83,363.76,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MARYLAND,219.95,140.75,137.44,155.79,90.59,239.87,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,77.42,285.18,119.25,354.88,31.72,399.32,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,150.47,56.64,96.81,64.81,85.99,154.74,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,5.78,0,1.65,0,3.52,5.78,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH CAROLINA,371.84,379.05,452.34,335.57,62.92,558.2,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,35.05,14.45,26.16,25.38,27.69,35.2,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,SOUTH CAROLINA,67.32,121.74,133.94,175.61,6.98,246.39,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,TENNESSEE,167.94,186.29,243.72,283,136.13,351.64,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,TEXAS,153.29,168.34,213.47,27.39,134.42,225.01,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,VIRGINIA,318,293.91,456.54,409.99,191.94,590.16,,,
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WASHINGTON DC,0,0,0,0,0,0,,,
3/1/2022,2019,20200088,17305,2714,"DOMINION ENERGY TRANSMISSION, INC.",HVL,INTERSTATE,PENNSYLVANIA,0,52.33,52.33,52.33,52.33,52.33,,,
3/1/2022,2019,20200088,17305,2714,"DOMINION ENERGY TRANSMISSION, INC.",HVL,INTERSTATE,WEST VIRGINIA,0,18.454,18.454,18.454,18.454,18.454,,,
3/1/2022,2019,20200088,17305,2714,"DOMINION ENERGY TRANSMISSION, INC.",HVL,INTRASTATE,WEST VIRGINIA,0,7.614,7.614,7.614,7.614,7.614,,,
3/1/2022,2019,20200089,18043,2714,"DOMINION ENERGY TRANSMISSION, INC.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,VIRGINIA,,1.14,1.14,1.14,1.14,1.14,,,
3/1/2022,2019,20200089,18043,2714,"DOMINION ENERGY TRANSMISSION, INC.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,WEST VIRGINIA,0,29.119,29.119,29.119,29.119,29.119,,,
3/1/2022,2019,20200277,17503,2731,CHEVRON PIPE LINE CO,CO2,INTERSTATE,COLORADO,0,0,0,0,0,0,,,
3/1/2022,2019,20200277,17503,2731,CHEVRON PIPE LINE CO,CO2,INTERSTATE,UTAH,0,0,0,0.5,0,0.5,,,
3/1/2022,2019,20200277,17503,2731,CHEVRON PIPE LINE CO,CO2,INTERSTATE,WYOMING,0,0,0,0,0,0,,,
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,COLORADO,0,0,0,0,0,0,0,0,0
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,LOUISIANA,0,8,0,35.9,4.1,43.9,0,0,0
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,MISSISSIPPI,0,0,0,40.9,0,40.9,,0,0
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,OCS-Gulf of Mexico,0,0,0,0,0,0,11.1,0,11.1
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,UTAH,18,83.9,144.2,56.4,0,165.1,0,0,0
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTRASTATE,CALIFORNIA,37.8,2.1,10.1,3.4,0,44.1,0,0,0
3/1/2022,2019,20200296,17524,2731,CHEVRON PIPE LINE CO,HVL,INTRASTATE,LOUISIANA,0,3,0,0.9,0.02,3.92,0,0,0
3/1/2022,2019,20200296,17524,2731,CHEVRON PIPE LINE CO,HVL,INTRASTATE,TEXAS,242,290.1,46.8,105.8,37,628.5,,,
3/1/2022,2019,20200412,17650,2731,CHEVRON PIPE LINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,225.74,16.88,106.86,71.27,6.29,279.59,,,
3/1/2022,2019,20200412,17650,2731,CHEVRON PIPE LINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,UTAH,2.7,0,2.7,0,0,2.7,,,
3/1/2022,2019,20200065,18849,2767,"HARVEST ALASKA, LLC",Crude Oil,INTERSTATE,ALASKA,,35.88,31.03,30.77,2.71,44.09,5.96,10.71,10.71
3/1/2022,2019,20200065,18849,2767,"HARVEST ALASKA, LLC",Crude Oil,INTRASTATE,ALASKA,0,19.15,0.42,10.56,3.32,29.54,21.13,21.13,21.13
3/1/2022,2019,20200315,17544,3345,DEVON ENERGY PRODUCTION CO. LP,CO2,INTRASTATE,WYOMING,,,,2.2,,2.2,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,ALABAMA,23.29,69.083,0,116.061,2.989,144.441,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,GEORGIA,17.623,80.327,0,76.019,0.596,137.731,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,LOUISIANA,32.592,46.803,0,37.104,23.103,99.044,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,MISSISSIPPI,19.656,18.412,0,66.724,0,67.609,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,NORTH CAROLINA,1.924,52.525,0,47.263,0,74.214,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,SOUTH CAROLINA,54.971,24.585,0,58.344,0,102.151,,,
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,TEXAS,16.868,24.585,0,11.033,2.643,39.948,,,
3/1/2022,2019,20200050,17260,3527,DOW PIPELINE CO,HVL,INTRASTATE,TEXAS,108.11,144.88,0,74.15,21.19,283.85,,,
3/1/2022,2019,20200048,17258,3535,DOW PIPELINE CO,HVL,INTRASTATE,LOUISIANA,25.96,6.48,0,8.32,1.25,39.51,,,
3/1/2022,2019,20200188,17411,4280,EL PASO NATURAL GAS CO,Crude Oil,INTRASTATE,CALIFORNIA,,,,,,,,,
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTERSTATE,ILLINOIS,0,0.627,0,0,0,0.627,,,
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTERSTATE,TENNESSEE,0.148,0.23,0,0.133,0,0.244,,,
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTERSTATE,TEXAS,0,0,0,0,0,0,,,
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTRASTATE,TEXAS,0.987,3.052,2.476,1.275,1.291,4.438,,,
3/1/2022,2019,20200576,17823,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,HVL,INTERSTATE,TEXAS,0,0,0,0,0,0,,,
3/1/2022,2019,20200576,17823,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,HVL,INTRASTATE,TEXAS,0.078,26.007,5.28,0,0,31.023,,,
3/1/2022,2019,20200577,17824,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,10.684,0.289,3.35,1.009,1.776,10.684,,,
3/1/2022,2019,20200577,17824,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,3.164,0,0.89,0,0,3.164,,,
3/1/2022,2019,20200577,17824,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TENNESSEE,0.451,0.261,0,0.261,0.261,0.451,,,
3/1/2022,2019,20200577,17824,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,5.172,0,0.475,0,5.38,,,
3/1/2022,2019,20200045,17255,4461,"EOG RESOURCES, INC",Crude Oil,INTRASTATE,TEXAS,0,0,9.95,0,0,9.95,,,
3/1/2022,2019,20200148,17371,4472,CYPRESS INTERSTATE PIPELINE LLC,HVL,INTERSTATE,LOUISIANA,6.01,5.88,0,0,0,7.05,,,
3/1/2022,2019,20200148,17371,4472,CYPRESS INTERSTATE PIPELINE LLC,HVL,INTERSTATE,TEXAS,22.65,41.93,0,4.34,0,42.42,,,
3/1/2022,2019,20200378,17616,4805,EXPLORER PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,5.2,115.88,91.74,42.34,37.9,158.59,,,
