DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_INTER_INTRA,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_UNGS_FACILITY_NAME,PARTC_UNGS_RESERVOIR_NAME,PARTC_IN_SERVICE_YEAR,PARTC_RESERVOIR_TYPE,PARTC_INDICATOR_WELL_TEXT,PARTC_MAX_PRESSURE_PSIG,PARTC_RESERVOIR_MAX_DEPTH_FT,PARTC_RESERVOIR_MIN_DEPTH_FT,PARTC_NUM_INJ_WITHDRAW_WELLS,PARTC_NUM_MON_OBSV_WELLS,PARTC_NUM_WELLS_DRILLED,PARTC_NUM_WELLS_PLUG_ABANDON,PARTC_NUM_WELLS_SURF_SFTY_VALV,PARTC_NUM_WELLS_SUBS_SFTY_VALV,PARTC_NUM_WELLS_PROD_TUBE_ONLY,PARTC_NUM_WELLS_PROD_CASE_ONLY,PARTC_NUM_WELLS_CASE_AND_TUBE,PARTC_NUM_WELLS_OTHER_GASFLOW,PARTC_WELLS_OTHER_GASFLOW_DESC,PARTC_NUM_WELLS_NEW_TUBING,PARTC_NUM_WELLS_NEW_CASING,PARTC_NUM_WELLS_REMEDIATED,PARTC_NUM_WELLS_LEAKS,PARTC_NUM_WELLS_PRESS_TEST_MIT,PARTC_NUM_WELLS_CORROSION_MIT,PARTC_NUM_WELLS_OTHER_MIT,PARTC_WELLS_OTHER_MIT_DESC,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,MECOSTA,Austin,MICHIGAN STRAY,1941,Hydrocarbon Reservoir,R. Fish 3,803,1494,1275,95,28,0,0,0,0,5,118,0,0,,0,0,0,0,0,6,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,KALKASKA,Blue Lake 18A,SALINA - NIAGARA,1993,Hydrocarbon Reservoir,BL 18A-15,3215,6930,6600,14,0,0,0,0,14,0,13,0,1,Partial Tubing/Packer,0,0,0,0,0,1,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,OTSEGO,Central Charlton,SALINA - NIAGARA,1982,Hydrocarbon Reservoir,CHA 13-1,3352,5995,5472,9,1,0,0,0,9,1,9,0,0,,0,0,0,0,0,0,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,KALKASKA,Cold Springs 1,SALINA - NIAGARA,2008,Hydrocarbon Reservoir,State Blue Lake 1-6,3722,6778,662,6,1,0,0,0,6,1,6,0,0,,0,0,0,0,0,0,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,KALKASKA,Cold Springs 12,SALINA - NIAGARA,1980,Hydrocarbon Reservoir,CS 12-4,3505,6790,6584,11,0,0,0,0,11,1,9,0,0,,0,0,0,0,0,0,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,KALKASKA,Cold Springs 31,SALINA - NIAGARA,1981,Hydrocarbon Reservoir,CS-31-3,3774,6930,6648,4,0,0,0,0,4,0,4,0,0,,0,0,2,0,0,2,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Intra,MI,Michigan,INGHAM,Eaton Rapids 36,SALINA - NIAGARA,1989,Hydrocarbon Reservoir,Eaton Rapids 36-A,1750,3815,3669,14,0,0,0,0,14,0,14,0,0,,0,1,1,0,0,2,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,KALKASKA,Excelsior 6/East Kalkaska 1,SALINA - NIAGARA,1981,Hydrocarbon Reservoir,Wood 1-6,3763,6839,6494,8,0,0,0,0,8,1,7,0,0,,0,0,4,0,0,4,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,NEWAYGO,Goodwell,MICHIGAN STRAY,1948,Hydrocarbon Reservoir,Harris 1,674,1265,1083,93,15,0,0,0,0,5,103,0,0,,0,0,0,0,0,6,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
3/1/2022,2019,20200091,2422,405,ANR PIPELINE CO,Inter,MI,Michigan,CLARE,Lincoln/Freeman,MICHIGAN STRAY,1950,Hydrocarbon Reservoir,"Frackelton 39, Freeman 174",824,1568,1435,162,24,0,0,0,0,8,178,0,0,,0,0,0,0,0,29,0,,SUPPLEMENTAL,3/12/2020,8/23/2021
