DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_UNGS_FACILITY_NAME,PARTB_INTER_INTRA,PARTB_UNIT_ID,PARTB_LOCATION_LATITUDE,PARTB_LOCATION_LONGITUDE,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_EIA_GAS_FIELD_CODE,PARTB_WORKING_GAS_CAPACITY_BCF,PARTB_BASE_GAS_CAPACITY_BCF,PARTB_TOTAL_GAS_CAPACITY_BCF,PARTB_VOL_WTHDRWN_AT_FCLTY_BCF,PARTB_VOL_INJCTD_AT_FCLTY_BCF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Austin,Inter,87289,43.62865,-85.38688,MI,Michigan,MECOSTA,107,7,16.08,23.08,9.35,9.3,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Blue Lake 18A,Inter,87338,44.83061,-84.9459,MI,Michigan,KALKASKA,079,47.09,7.03,54.12,22.81,21.22,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Central Charlton,Inter,87292,45.01432,-84.37577,MI,Michigan,OTSEGO,137,14.1,4.9,19,4.38,1.81,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Cold Springs 1,Inter,87298,44.8411,-84.96876,MI,Michigan,KALKASKA,079,15.33,4.5,19.83,5.02,5.18,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Cold Springs 12,Inter,87299,44.83539,-84.96678,MI,Michigan,KALKASKA,079,25.26,3.63,28.89,12.82,10.61,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Cold Springs 31,Inter,87297,44.77311,-85.07414,MI,Michigan,KALKASKA,079,5,0.75,5.75,1.32,0.9,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Eaton Rapids 36,Intra,87984,42.50642,-84.59604,MI,Michigan,INGHAM,065,12.98,3.25,16.23,8.35,6.81,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Excelsior 6/East Kalkaska 1,Inter,87300,44.77053,-85.0847,MI,Michigan,KALKASKA,079,10.81,1.5,12.31,2.32,2.35,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Goodwell,Inter,87290,43.61674,-85.64678,MI,Michigan,NEWAYGO,123,21.3,10.4,31.7,49.89,17.55,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Lincoln/Freeman,Inter,87337,43.93322,-84.93884,MI,Michigan,CLARE,035,18.5,17.22,35.72,11.94,10.38,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Loreed,Inter,87296,43.9336,-85.53753,MI,Michigan,OSCEOLA,133,19,23.21,42.21,14.25,10.66,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Muttonville,Inter,87336,42.7715,-82.74616,MI,Michigan,MACOMB,099,8.2,5.21,13.41,4.79,4.65,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Rapid River 35,Inter,87294,44.77848,-85.1209,MI,Michigan,KALKASKA,133,15.05,2.28,17.33,5.53,3.5,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Reed City,Inter,87293,43.93069,-85.54955,MI,Michigan,OSCEOLA,133,15.2,13.71,28.91,14.08,10.06,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,South Chester 15,Inter,87295,44.90654,-84.53595,MI,Michigan,OTSEGO,137,14.6,4.86,19.46,2.96,1.65,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180561,561,405,ANR PIPELINE CO,Winfield,Inter,87291,43.44215,-85.42709,MI,Michigan,MONTCALM,177,1.9,8.53,10.43,1.08,1.2,INITIAL,3/9/2018,3/9/2018
3/1/2022,2017,20180605,605,602,"ENABLE GAS TRANSMISSION, LLC",Ada,Inter,87985,34.82327,-96.68887,OK,Oklahoma,PONTOTOC,2830,14.14,8.41,22.55,11.74,10.16,INITIAL,3/13/2018,3/13/2018
3/1/2022,2017,20180605,605,602,"ENABLE GAS TRANSMISSION, LLC",Chiles Dome,Inter,87986,34.71164,-96.29656,OK,Oklahoma,COAL,138766,12.6,11,23.6,12.07,8.11,INITIAL,3/13/2018,3/13/2018
3/1/2022,2017,20180605,605,602,"ENABLE GAS TRANSMISSION, LLC",Ruston,Inter,87279,32.61995,-92.61315,LA,Louisiana,LINCOLN,620502,4,3,7,1.64,1.28,INITIAL,3/13/2018,3/13/2018
3/1/2022,2017,20180281,301,1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",Huntsman Gas Storage Field,Inter,87987,41.19844,-102.9933,NE,Nebraska,CHEYENNE,34029,15.97,22.2,38.17,9.11,7.85,INITIAL,2/26/2018,2/26/2018
3/1/2022,2017,20180363,863,1217,BEAR CREEK STORAGE CO,Bear Creek,Inter,87276,32.3743,-92.94288,LA,Louisiana,BIENVILLE,048643,59.2,48.7,107.9,33.02,30.56,SUPPLEMENTAL,3/1/2018,6/20/2018
3/1/2022,2017,20180626,626,2392,CITIZENS GAS & COKE UTILITY,Dixon,Intra,87988,39.0594,-87.03231,IN,Indiana,GREENE,193998,0.87,1.91,2.78,0.63,0.62,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180626,626,2392,CITIZENS GAS & COKE UTILITY,Howesville,Intra,87989,39.14141,-87.14771,IN,Indiana,GREENE,335454,1.05,3.2,4.25,0.65,0.65,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180626,626,2392,CITIZENS GAS & COKE UTILITY,Mineral City,Intra,87990,38.9687,-86.92304,IN,Indiana,GREENE,476691,0.4,1.68,2.08,0.28,0.26,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180626,626,2392,CITIZENS GAS & COKE UTILITY,Simpson,Intra,87991,38.9687,-86.92304,IN,Indiana,GREENE,657104,0.4,1.8,2.2,0.01,0,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180626,626,2392,CITIZENS GAS & COKE UTILITY,Switz City,Intra,87992,39.03287,-87.06914,IN,Indiana,GREENE,693201,0.86,4.78,5.64,0.51,0.55,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180626,626,2392,CITIZENS GAS & COKE UTILITY,Worthington,Intra,87993,39.1031,-86.99098,IN,Indiana,GREENE,779801,3.52,9.68,13.2,2.04,2.27,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180101,943,2412,CITIZENS GAS UTIL DIST,Indian Creek Storage Field,Intra,87994,36.31836,-84.71773,TN,Tennessee,MORGAN,129,1.8,0.54,2.34,1.7,2.24,SUPPLEMENTAL,2/13/2018,9/25/2018
3/1/2022,2017,20180501,1644,2564,COLORADO INTERSTATE GAS CO,Boehm Gas Storage Field,Inter,87259,37.18488,-101.87447,KS,Kansas,MORTON,077715,5.23,7.5,12.73,3.62,4.03,SUPPLEMENTAL,3/7/2018,9/2/2020
3/1/2022,2017,20180501,1644,2564,COLORADO INTERSTATE GAS CO,Flank Gas Storage Field,Inter,87219,37.11492,-102.18222,CO,Colorado,BACA,243676,7.18,11.44,18.62,7.87,8.25,SUPPLEMENTAL,3/7/2018,9/2/2020
3/1/2022,2017,20180501,1644,2564,COLORADO INTERSTATE GAS CO,Fort Morgan,Inter,87215,40.18788,-103.81683,CO,Colorado,MORGAN,250574,8.5,6.36,14.86,15.65,14.35,SUPPLEMENTAL,3/7/2018,9/2/2020
3/1/2022,2017,20180501,1644,2564,COLORADO INTERSTATE GAS CO,Latigo Gas Storage Field,Inter,87216,39.60742,-104.17758,CO,Colorado,ARAPAHOE,403515,9.35,12.28,21.63,6.39,7.2,SUPPLEMENTAL,3/7/2018,9/2/2020
3/1/2022,2017,20180501,1644,2564,COLORADO INTERSTATE GAS CO,Totem,Inter,87217,39.88251,-104.35064,CO,Colorado,ADAMS,714029,7,3.7,10.7,8.78,9.01,SUPPLEMENTAL,3/7/2018,9/2/2020
3/1/2022,2017,20180501,1644,2564,COLORADO INTERSTATE GAS CO,Young Gas Storage Field,Inter,87218,40.31166,-103.83732,CO,Colorado,MORGAN,787893,5.79,4.16,9.95,12.75,12.63,SUPPLEMENTAL,3/7/2018,9/2/2020
3/1/2022,2017,20180625,841,2600,COLUMBIA GAS OF PENNSYLVANIA,Blackhawk Compressor Station,Intra,88084,40.75702,-80.43689,PA,Pennsylvania,BEAVER,069081,1.2,2.4,3.6,183.44,0.66,SUPPLEMENTAL,3/14/2018,6/18/2018
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Artemas A,Inter,87995,39.72556,-78.42194,PA,Pennsylvania,BEDFORD,009,8.78,5.68,14.46,9.87,9.73,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Artemas B,Inter,87996,39.72556,-78.42194,PA,Pennsylvania,BEDFORD,009,1.32,0.83,2.15,1.49,0.99,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Benton,Inter,87997,39.41417,-82.60556,OH,Ohio,HOCKING,073,8.48,16.62,25.1,7.22,6.73,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Brinker,Inter,87998,40.82472,-80.75639,OH,Ohio,COLUMBIANA,029,3.12,4.53,7.65,2.2,1.9,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Coco A,Inter,87999,38.40194,-81.41722,WV,West Virginia,KANAWHA,039,23.43,15.71,39.14,22.02,21.12,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Coco B,Inter,88000,38.40194,-81.41722,WV,West Virginia,KANAWHA,039,3.54,6.17,9.71,3.51,3.95,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Coco C,Inter,88001,38.40194,-81.41722,WV,West Virginia,KANAWHA,039,8.54,10.23,18.77,6.42,8.34,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Crawford,Inter,88002,39.63139,-82.555,OH,Ohio,FAIRFIELD,045,31.4,47.7,79.1,15.91,9.66,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Donegal,Inter,88003,40.11167,-80.4625,PA,Pennsylvania,WASHINGTON,125,6.29,3.61,9.9,4.83,4.65,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Dundee,Inter,88004,42.45694,-76.97722,NY,New York,SCHUYLER,097,4.77,6.59,11.36,2.98,3.45,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Glady,Inter,88005,38.78194,-79.70472,WV,West Virginia,RANDOLPH,083,12.81,18.39,31.2,15.32,13.49,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Greenwood,Inter,88006,42.16111,-77.66222,NY,New York,STEUBEN,101,0.13,3.2,3.33,0,0,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Guernsey,Inter,88007,40.09972,-81.64,OH,Ohio,GUERNSEY,059,3.58,3.72,7.3,0.81,1.6,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Hardy Inkerman,Inter,88008,39.06507,-78.7305,WV,West Virginia,HARDY,031,4.14,8.11,12.25,4.7,4.74,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Hardy Lost River,Inter,88009,39.06507,-78.7305,WV,West Virginia,HARDY,031,8.16,9.19,17.35,5.72,5.94,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Heard,Inter,88010,39.96333,-80.52139,WV,West Virginia,MARSHALL,051,8.5,0.4,8.9,0,0,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Holmes,Inter,88011,40.65194,-82.13472,OH,Ohio,HOLMES,075,10.9,10.8,21.7,3.63,2.68,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Hunt,Inter,88012,38.51306,-81.47444,WV,West Virginia,KANAWHA,039,1.7,4.44,6.14,0.01,0,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Lanham,Inter,88013,38.47722,-81.71083,WV,West Virginia,KANAWHA,039,2.26,2.74,5,3.77,3.74,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Laurel,Inter,88014,39.63139,-82.555,OH,Ohio,HOCKING,073,10.29,13.02,23.31,5.5,4.67,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Lorain,Inter,88015,41.13667,-82.16917,OH,Ohio,LORAIN,093,3.43,7.27,10.7,3.03,3.15,SUPPLEMENTAL,3/12/2018,10/12/2021
