DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_UNGS_FACILITY_NAME,PARTB_INTER_INTRA,PARTB_UNIT_ID,PARTB_LOCATION_LATITUDE,PARTB_LOCATION_LONGITUDE,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_EIA_GAS_FIELD_CODE,PARTB_WORKING_GAS_CAPACITY_BCF,PARTB_BASE_GAS_CAPACITY_BCF,PARTB_TOTAL_GAS_CAPACITY_BCF,PARTB_VOL_WTHDRWN_AT_FCLTY_BCF,PARTB_VOL_INJCTD_AT_FCLTY_BCF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Lucas,Inter,88016,40.70528,-82.36056,OH,Ohio,RICHLAND,139,29.01,31.39,60.4,19.49,21.7,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Majorsville Deep,Inter,88017,39.96333,-80.52139,WV,West Virginia,MARSHALL,051,23,1.52,24.52,0,0,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Majorsville Shallow,Inter,88018,39.96333,-80.52139,WV,West Virginia,MARSHALL,051,3.3,0.18,3.48,0,0,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",McArthur,Inter,88019,39.23972,-82.54333,OH,Ohio,VINTON,163,5.34,5.56,10.9,4.59,4.02,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Medina,Inter,88020,41.19556,-81.90722,OH,Ohio,MEDINA,103,4.44,5.97,10.41,1.64,1.46,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",North Greenwood,Inter,88021,42.16111,-77.66222,NY,New York,STEUBEN,101,1.15,2.05,3.2,0,0,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Pavonia,Inter,88022,40.81944,-82.42056,OH,Ohio,RICHLAND,139,27.08,22.42,49.5,15.02,14.97,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Ripley,Inter,88023,38.87889,-81.69,WV,West Virginia,JACKSON,035,10.55,14.5,25.05,10.1,8.1,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Rockport,Inter,88024,39.06889,-81.55194,WV,West Virginia,WOOD,107,3.81,4.35,8.16,7.89,7.19,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Terra Alta,Inter,88025,39.42194,-79.545,WV,West Virginia,PRESTON,077,14.7,28.76,43.46,10.85,10.7,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Terra Alta South,Inter,88026,39.42194,-79.545,WV,West Virginia,PRESTON,077,5.44,11.96,17.4,2.44,3.21,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Victory A,Inter,88027,39.76583,-80.64583,WV,West Virginia,MARSHALL,051,3.58,3.57,7.15,2.61,3.14,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Victory B,Inter,88028,39.76583,-80.64583,WV,West Virginia,MARSHALL,051,14.19,10.91,25.1,7.73,9.93,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Wayne,Inter,88029,40.65194,-82.13472,OH,Ohio,HOLMES,075,8.26,9.14,17.4,4.21,3.2,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Weaver,Inter,88030,40.65944,-82.4025,OH,Ohio,RICHLAND,139,31.97,18.53,50.5,16.82,14.77,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180581,2464,2616,"COLUMBIA GAS TRANSMISSION, LLC",Wellington,Inter,88031,41.13667,-82.16917,OH,Ohio,MEDINA,103,8.89,14.21,23.1,7.1,6.77,SUPPLEMENTAL,3/12/2018,10/12/2021
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Bridgeport,Inter,88044,39.3356,-80.2131,WV,West Virginia,HARRISON,091588,4.18,4.04,8.22,1.92,2.21,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Ellisburg,Inter,88045,41.92283,-77.89371,PA,Pennsylvania,POTTER,220996,43.31,33.46,76.77,45.85,50.78,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Fink-Kennedy-Lost Creek,Inter,88046,39.13597,-80.48158,WV,West Virginia,LEWIS,241335,89.54,77.98,167.52,74.17,77.34,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Greenlick,Inter,88047,41.48546,-77.71629,PA,Pennsylvania,POTTER,289081,28.83,27.03,55.86,29.14,26.58,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Harrison,Inter,88048,41.98174,-77.67885,PA,Pennsylvania,POTTER,307691,20.72,13.38,34.1,28.79,26.55,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Leidy,Inter,88049,41.44797,-77.85773,PA,Pennsylvania,CLINTON,408747,55.08,46.92,102,50.77,53.24,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",North Summit,Inter,88050,39.82627,-79.67603,PA,Pennsylvania,FAYETTE,004225,11.5,11.5,23,5.01,5.22,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Oakford-Fifth Sand,Inter,88051,40.40393,-79.55541,PA,Pennsylvania,WESTMORELAND,517434,9.4,12,21.4,13.23,12.59,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Oakford-Murrysville,Inter,88052,40.37085,-79.56244,PA,Pennsylvania,WESTMORELAND,517434,72,39,111,79.78,78.76,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Quinlan,Inter,88053,42.00432,-78.45375,NY,New York,CATTARAUGUS,019155,4,3.9,7.9,4.69,3.88,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Racket-Newberne,Inter,88054,39.02579,-80.90063,WV,West Virginia,GILMER,582509,4.45,3.47,7.92,0.13,0.49,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Sabinsville,Inter,88055,41.87524,-77.53466,PA,Pennsylvania,TIOGA,623108,18.2,17.42,35.62,20.23,17.93,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Sharon,Inter,88056,41.97512,-78.09667,PA,Pennsylvania,POTTER,647971,2.41,2.2,4.61,0,0,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",South Bend,Inter,88057,40.63838,-79.36261,PA,Pennsylvania,ARMSTRONG,666548,5.81,11.53,17.34,3.85,4.44,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Tamarack,Inter,88058,41.40758,-77.84592,PA,Pennsylvania,CLINTON,696938,6.12,5.11,11.23,1.64,1.18,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Tioga,Inter,88059,41.94189,-77.21743,PA,Pennsylvania,TIOGA,709091,24,12,36,19.38,21.53,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180541,541,2714,"DOMINION ENERGY TRANSMISSION, INC.",Woodhull,Inter,88060,42.06798,-77.4009,NY,New York,STEUBEN,777445,20.6,15.31,35.91,19.28,19.27,INITIAL,3/8/2018,3/8/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Cranberry Lake,Intra,88061,44.15088,-84.97306,MI,Michigan,CLARE,035,10.87,16.99,27.86,7,7.58,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Four Corners,Intra,88062,42.72327,-82.61187,MI,Michigan,SAINT CLAIR,147,2.36,1.37,3.73,1.01,1.93,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Hessen,Intra,88063,42.80386,-82.65215,MI,Michigan,SAINT CLAIR,147,12.35,4.42,16.77,10.13,9.7,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Ira,Intra,88064,42.71637,-82.63379,MI,Michigan,SAINT CLAIR,147,1.98,4.2,6.18,0.78,0.88,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Lenox,Intra,88065,42.71971,-82.82238,MI,Michigan,MACOMB,99,1.19,2,3.19,0.6,0.58,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Lyon 29,Intra,88066,42.44834,-83.63294,MI,Michigan,OAKLAND,125,1.22,0.94,2.16,0.06,0.08,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Lyon 34,Intra,88067,42.44417,-83.61052,MI,Michigan,OAKLAND,125,0.69,0.65,1.34,0.05,0.05,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Northville Reef,Intra,88068,42.42959,-83.58206,MI,Michigan,WASHTENAW,161,0.49,0.71,1.2,0.1,0.98,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Overisel,Intra,88069,42.72861,-85.95401,MI,Michigan,ALLEGAN,005,22.72,29.64,52.36,16.21,16.53,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Puttygut,Intra,88070,42.78278,-82.64537,MI,Michigan,SAINT CLAIR,147,9.39,5.04,14.43,7.54,7.47,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Ray,Intra,88071,42.80528,-82.87653,MI,Michigan,MACOMB,99,47.52,17.06,64.58,43.76,39.5,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Riverside,Intra,88072,44.20114,-85.18346,MI,Michigan,MISSAUKEE,113,1.48,7.41,8.89,0.33,0.38,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Salem,Intra,88073,42.72358,-85.83441,MI,Michigan,ALLEGAN,005,11.46,18.67,30.13,9.21,8.92,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Swan Creek,Intra,88074,42.72558,-82.62452,MI,Michigan,SAINT CLAIR,147,0.41,0.23,0.64,0.11,0.28,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180624,624,2748,CONSUMERS ENERGY CO,Winterfield,Intra,88075,44.09249,-85.06596,MI,Michigan,CLARE,035,25,46.44,71.44,19.27,16.76,INITIAL,3/14/2018,3/14/2018
3/1/2022,2017,20180643,783,2859,CRANBERRY PIPELINE CORP (WV),Heizer Creek Storage,Intra,88085,38.52261,-81.77501,WV,West Virginia,PUTNAM,0,0,0.1,0.1,0,0,SUPPLEMENTAL,3/15/2018,5/24/2018
3/1/2022,2017,20180643,783,2859,CRANBERRY PIPELINE CORP (WV),Maxton,Intra,88086,37.70994,-81.2883,WV,West Virginia,RALEIGH,0,0.66,0.21,0.87,0.44,0.41,SUPPLEMENTAL,3/15/2018,5/24/2018
