DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_UNGS_FACILITY_NAME,PARTB_INTER_INTRA,PARTB_UNIT_ID,PARTB_LOCATION_LATITUDE,PARTB_LOCATION_LONGITUDE,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_EIA_GAS_FIELD_CODE,PARTB_WORKING_GAS_CAPACITY_BCF,PARTB_BASE_GAS_CAPACITY_BCF,PARTB_TOTAL_GAS_CAPACITY_BCF,PARTB_VOL_WTHDRWN_AT_FCLTY_BCF,PARTB_VOL_INJCTD_AT_FCLTY_BCF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Austin,Inter,87289,43.62865,-85.38688,MI,Michigan,MECOSTA,107,7,16.08,23.08,9.36,9.06,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Blue Lake 18A,Inter,87338,44.83061,-84.9459,MI,Michigan,KALKASKA,079,47.09,7.03,54.12,35.83,29.65,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Central Charlton,Inter,87292,45.01432,-84.37577,MI,Michigan,OTSEGO,137,14.1,4.9,19,9.77,8.94,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Cold Springs 1,Inter,87298,44.8411,-84.96876,MI,Michigan,KALKASKA,079,15.33,4.5,19.83,12.78,10.28,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Cold Springs 12,Inter,87299,44.83539,-84.96678,MI,Michigan,KALKASKA,079,25.26,3.63,28.89,16.93,12.81,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Cold Springs 31,Inter,87297,44.77311,-85.07414,MI,Michigan,KALKASKA,079,5,0.75,5.75,3.64,2,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Eaton Rapids 36,Intra,87984,42.50642,-84.59604,MI,Michigan,INGHAM,065,12.98,3.25,16.23,6.72,6.58,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Excelsior 6/East Kalkaska 1,Inter,87300,44.77053,-85.0847,MI,Michigan,KALKASKA,079,10.81,1.5,12.31,7.13,4.16,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Goodwell,Inter,87290,43.61674,-85.64678,MI,Michigan,NEWAYGO,123,21.3,10.4,31.7,18.08,18.06,SUPPLEMENTAL,3/15/2019,10/18/2021
3/1/2022,2018,20190092,2482,405,ANR PIPELINE CO,Lincoln/Freeman,Inter,87337,43.93322,-84.93884,MI,Michigan,CLARE,035,18.5,17.22,35.72,11.06,9.03,SUPPLEMENTAL,3/15/2019,10/18/2021
