DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_INTER_INTRA,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_UNGS_FACILITY_NAME,PARTC_UNGS_RESERVOIR_NAME,PARTC_IN_SERVICE_YEAR,PARTC_RESERVOIR_TYPE,PARTC_INDICATOR_WELL_TEXT,PARTC_MAX_PRESSURE_PSIG,PARTC_RESERVOIR_MAX_DEPTH_FT,PARTC_RESERVOIR_MIN_DEPTH_FT,PARTC_NUM_INJ_WITHDRAW_WELLS,PARTC_NUM_MON_OBSV_WELLS,PARTC_NUM_WELLS_DRILLED,PARTC_NUM_WELLS_PLUG_ABANDON,PARTC_NUM_WELLS_SURF_SFTY_VALV,PARTC_NUM_WELLS_SUBS_SFTY_VALV,PARTC_NUM_WELLS_PROD_TUBE_ONLY,PARTC_NUM_WELLS_PROD_CASE_ONLY,PARTC_NUM_WELLS_CASE_AND_TUBE,PARTC_NUM_WELLS_OTHER_GASFLOW,PARTC_WELLS_OTHER_GASFLOW_DESC,PARTC_NUM_WELLS_NEW_TUBING,PARTC_NUM_WELLS_NEW_CASING,PARTC_NUM_WELLS_REMEDIATED,PARTC_NUM_WELLS_LEAKS,PARTC_NUM_WELLS_PRESS_TEST_MIT,PARTC_NUM_WELLS_CORROSION_MIT,PARTC_NUM_WELLS_OTHER_MIT,PARTC_WELLS_OTHER_MIT_DESC,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2018,20190081,1456,18484,SOUTHERN CALIFORNIA GAS CO,Intra,CA,California,LOS ANGELES,Aliso Canyon,Sesnon-Frew,1973,Hydrocarbon Reservoir,Porter 69G - API 03724225,1876,9646,6797,74,8,0,13,59,4,59,0,0,16,"These wells are plugged and/or isolated or out of service. As of CY 2018, these wells either are pending to be out back into service or have a rig on the well or have a rig scheduled, to complete the following: 1. Inspect the well; and 2. Convert the well to tubing flow-only flow OR plug and abandon the well.",15,7,9,0,31,10,75,Noise and/or Temperature Surveys,SUPPLEMENTAL,3/14/2019,3/11/2020
3/1/2022,2018,20190081,1456,18484,SOUTHERN CALIFORNIA GAS CO,Intra,CA,California,LOS ANGELES,Honor Rancho,Wayside 13,1975,Hydrocarbon Reservoir,Wezu 20 - API 03700187,3473,11253,8784,35,0,0,1,22,3,22,0,0,13,"These wells are plugged and/or isolated and out of service. As of CY 2018, these wells either have a rig on the well or have a rig scheduled, to complete the following: 1. Inspect the well; and 2. Convert the well to tubing flow-only flow OR plug and abandon the well.",5,2,5,0,8,8,35,Noise and/or Temperature Surveys,SUPPLEMENTAL,3/14/2019,3/11/2020
3/1/2022,2018,20190081,1456,18484,SOUTHERN CALIFORNIA GAS CO,Intra,CA,California,SANTA BARBARA,La Goleta,Vaqueros,1941,Hydrocarbon Reservoir,Goleta 1 - API 08303403,1808,4455,3734,18,3,0,0,9,3,9,0,0,9,"These wells are plugged and/or isolated and out of service. As of CY 2018, these wells either have a rig on the well or have a rig scheduled, to complete the following: 1. Inspect the well; and 2. Convert the well to tubing flow-only flow OR plug and abandon the well.",2,1,1,0,7,7,20,Noise and/or Temperature Surveys,SUPPLEMENTAL,3/14/2019,3/11/2020
3/1/2022,2018,20190081,1456,18484,SOUTHERN CALIFORNIA GAS CO,Intra,CA,California,LOS ANGELES,Playa Del Rey,Puente Schist Conglomerate,1942,Hydrocarbon Reservoir,McAdams 2 - API 03714039,1475,6729,5729,22,17,0,2,17,14,17,0,0,5,"These wells are plugged and/or isolated and out of service. As of CY 2018, these wells either have a rig on the well or have a rig scheduled, to complete the following: 1. Inspect the well; and 2. Convert the well to tubing flow-only flow OR plug and abandon the well.",3,0,3,0,5,5,35,Noise and/or Temperature Surveys,SUPPLEMENTAL,3/14/2019,3/11/2020
3/1/2022,2018,20190052,1165,18508,SOUTHERN INDIANA GAS & ELECTRIC CO,Intra,IN,Indiana,SPENCER,Midway Storage Field,Tar Springs,1966,Hydrocarbon Reservoir,MID-004 Fueger #02,625.2,1010,971,32,3,0,1,32,0,0,32,0,0,,0,0,0,0,0,8,0,,INITIAL,3/11/2019,3/11/2019
3/1/2022,2018,20190052,1165,18508,SOUTHERN INDIANA GAS & ELECTRIC CO,Intra,IN,Indiana,KNOX,Monroe Storage Field,Mansfield Sandstone,1956,Hydrocarbon Reservoir,MCP-016 Belcher - Like #01,350,970,810,18,1,0,0,18,0,7,11,0,0,,0,0,0,0,0,8,0,,INITIAL,3/11/2019,3/11/2019
3/1/2022,2018,20190052,1165,18508,SOUTHERN INDIANA GAS & ELECTRIC CO,Intra,IN,Indiana,KNOX,Monroe Storage Field,Staunton Formation,2018,Hydrocarbon Reservoir,MCP-020 W.G. McCoy #06,203.3,580,494,1,3,0,0,3,0,0,3,0,0,,0,0,0,0,0,2,0,,INITIAL,3/11/2019,3/11/2019
3/1/2022,2018,20190052,1165,18508,SOUTHERN INDIANA GAS & ELECTRIC CO,Intra,IN,Indiana,POSEY,Oliver Storage Field,Sebree Formation,2018,Hydrocarbon Reservoir,OLP-057 J.H. Becker #01,399.3,718,683,3,1,0,0,3,0,0,3,0,0,,0,0,0,0,0,0,0,,INITIAL,3/11/2019,3/11/2019
3/1/2022,2018,20190052,1165,18508,SOUTHERN INDIANA GAS & ELECTRIC CO,Intra,IN,Indiana,POSEY,Oliver Storage Field,Staunton,1954,Hydrocarbon Reservoir,OLP-040 Willis #10,502.9,862,683,53,7,0,0,53,0,0,53,0,0,,1,0,1,0,0,11,0,,INITIAL,3/11/2019,3/11/2019
3/1/2022,2018,20190030,1143,18516,SOUTHERN NATURAL GAS CO,Inter,MS,Mississippi,MONROE,Muldon,Chester Gas Pool,1972,Hydrocarbon Reservoir,MGSU 27-1,2550,5577,5248,71,2,0,0,71,0,71,0,0,0,,0,0,0,0,0,0,0,,INITIAL,3/7/2019,3/7/2019
3/1/2022,2018,20190057,1170,19125,TEAVEE OIL & GAS INC,Intra,WV,West Virginia,PUTNAM,Teavee Oil and Gas Storage Field,Midway Extra,1965,Aquifer Reservoir,4707901529,700,1800,1700,8,0,0,0,8,0,8,0,0,0,,0,0,0,0,0,0,0,,INITIAL,3/11/2019,3/11/2019
3/1/2022,2018,20190031,1144,19160,TENNESSEE GAS PIPELINE COMPANY,Inter,PA,Pennsylvania,POTTER,Hebron,Oriskany,1951,Hydrocarbon Reservoir,H4792,1968,5403,4842,47,4,0,0,0,0,8,39,0,0,,1,0,0,0,0,6,0,,INITIAL,3/7/2019,3/7/2019
3/1/2022,2018,20190014,1088,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",Inter,MD,Maryland,GARRETT,Accident,Oriskany,1966,Hydrocarbon Reservoir,Turney 1,3370,7900,7300,73,11,0,0,0,0,0,73,0,0,,0,0,0,0,0,8,84,Inventory Verification and Hysteresis Curve Analyses,INITIAL,2/25/2019,2/25/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,IN,Indiana,PIKE,Alford Storage Field,Cypress Sandstone,1951,Hydrocarbon Reservoir,5915,496,1050,1000,37,1,0,0,0,0,0,37,0,0,,0,0,0,0,0,0,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,KY,Kentucky,HENDERSON,Dixie Storage Field,Dixie Sand,1951,Hydrocarbon Reservoir,15843,410,1080,1000,53,12,0,0,0,1,1,52,0,0,,0,0,0,0,0,1,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,KY,Kentucky,MUHLENBERG,Graham Lake Storage Field,Tar Springs,1963,Hydrocarbon Reservoir,16146,710,1530,1460,14,2,0,0,0,0,0,14,0,0,,0,0,0,0,0,1,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,KY,Kentucky,HOPKINS,Hanson Storage Field,Tar Springs,1964,Hydrocarbon Reservoir,16267,937,2294,2144,34,5,0,0,0,4,0,34,0,0,,0,0,0,0,0,0,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,IN,Indiana,LAWRENCE,Leesville Storage Field,Geneva Dolomite,1962,Aquifer Reservoir,1481,290,880,820,49,14,0,0,0,0,0,49,0,0,,0,0,0,0,0,0,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,KY,Kentucky,MUHLENBERG,Midland Gas Storage Field,Bethel Sandstone,1970,Hydrocarbon Reservoir,17397,770,2202,2052,159,2,0,4,0,0,0,159,0,0,,0,3,0,0,0,34,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,IN,Indiana,KNOX,Oaktown Storage Field,Staunton,1944,Hydrocarbon Reservoir,1543,287,640,600,24,2,0,0,0,0,0,24,0,0,,0,0,0,0,0,0,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,KY,Kentucky,MUHLENBERG,West Greenville Storage Field,Bethel Sandstone,1961,Hydrocarbon Reservoir,16089,465,1858,1778,50,2,0,0,0,0,0,50,0,0,,0,0,0,0,0,21,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190023,1122,19270,"TEXAS GAS TRANSMISSION, LLC",Inter,IN,Indiana,SULLIVAN,Wilfred Storage Field,Geneva Dolomite,1959,Aquifer Reservoir,2583,885,2100,2000,16,6,0,0,0,0,0,16,0,0,,0,0,0,0,0,0,0,,INITIAL,3/4/2019,3/4/2019
3/1/2022,2018,20190801,1663,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,Inter,MS,Mississippi,COVINGTON,Eminence Dome,CAVERN 5,1995,Salt Cavern,Cavern 5,2067,4966,4444,1,9,0,0,1,0,0,1,0,0,,0,0,0,0,1,0,0,,SUPPLEMENTAL,2/11/2019,9/15/2020
3/1/2022,2018,20190801,1663,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,Inter,MS,Mississippi,COVINGTON,Eminence Dome,CAVERN 6,1994,Salt Cavern,Cavern 6,2483,5010,4439,1,9,0,0,1,0,0,1,0,0,,0,0,0,0,1,0,0,,SUPPLEMENTAL,2/11/2019,9/15/2020
3/1/2022,2018,20190801,1663,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,Inter,MS,Mississippi,COVINGTON,Eminence Dome,CAVERN 7,1996,Salt Cavern,Cavern 7,2490,5026,4419,1,9,0,0,1,0,0,1,0,0,,0,0,1,0,1,1,1,Ran video survey and caliper log,SUPPLEMENTAL,2/11/2019,9/15/2020
3/1/2022,2018,20190801,1663,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,Inter,LA,Louisiana,SAINT LANDRY,Washington Storage Field,Cockfield D Sandstone,1976,Hydrocarbon Reservoir,TLC Well #1,3656,9634,9225,40,6,0,0,40,0,38,2,0,0,,1,2,7,0,41,5,0,,SUPPLEMENTAL,2/11/2019,9/15/2020
3/1/2022,2018,20190068,2026,19730,TRUNKLINE GAS CO,Inter,LA,Louisiana,WEST CARROLL,Epps,Monroe Gas Rock,1979,Hydrocarbon Reservoir,Marston 3-1,1400,2377,2298,42,19,0,0,0,0,23,6,13,0,,3,0,0,0,3,0,0,,SUPPLEMENTAL,3/13/2019,3/11/2021
3/1/2022,2018,20190002,1069,22189,PUGET SOUND ENERGY,Inter,WA,Washington,LEWIS,Jackson Prairie Storage Facility,ZONE 1,1967,Aquifer Reservoir,SU #63,581,1300,900,3,7,0,0,3,0,1,0,2,0,,0,0,0,0,0,0,0,,INITIAL,2/19/2019,2/19/2019
