DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_INTER_INTRA,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_UNGS_FACILITY_NAME,PARTC_UNGS_RESERVOIR_NAME,PARTC_IN_SERVICE_YEAR,PARTC_RESERVOIR_TYPE,PARTC_INDICATOR_WELL_TEXT,PARTC_MAX_PRESSURE_PSIG,PARTC_RESERVOIR_MAX_DEPTH_FT,PARTC_RESERVOIR_MIN_DEPTH_FT,PARTC_NUM_INJ_WITHDRAW_WELLS,PARTC_NUM_MON_OBSV_WELLS,PARTC_NUM_WELLS_DRILLED,PARTC_NUM_WELLS_PLUG_ABANDON,PARTC_NUM_WELLS_SURF_SFTY_VALV,PARTC_NUM_WELLS_SUBS_SFTY_VALV,PARTC_NUM_WELLS_PROD_TUBE_ONLY,PARTC_NUM_WELLS_PROD_CASE_ONLY,PARTC_NUM_WELLS_CASE_AND_TUBE,PARTC_NUM_WELLS_OTHER_GASFLOW,PARTC_WELLS_OTHER_GASFLOW_DESC,PARTC_NUM_WELLS_NEW_TUBING,PARTC_NUM_WELLS_NEW_CASING,PARTC_NUM_WELLS_REMEDIATED,PARTC_NUM_WELLS_LEAKS,PARTC_NUM_WELLS_PRESS_TEST_MIT,PARTC_NUM_WELLS_CORROSION_MIT,PARTC_NUM_WELLS_OTHER_MIT,PARTC_WELLS_OTHER_MIT_DESC,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2018,20190047,1563,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",Intra,OK,Oklahoma,HUGHES,Stuart Storage Facility,Hartshorne Sand,1993,Hydrocarbon Reservoir,S-12,866,3330,3100,11,3,0,0,11,0,11,0,0,0,,0,0,0,0,0,0,0,,SUPPLEMENTAL,3/8/2019,4/29/2020
3/1/2022,2018,20190047,1563,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",Intra,OK,Oklahoma,HUGHES,Wetumka,Channel Booch Sandstone,1973,Hydrocarbon Reservoir,IW-17,632,2600,2450,30,6,0,0,0,0,2,28,0,0,,1,6,15,0,0,22,0,,SUPPLEMENTAL,3/8/2019,4/29/2020
3/1/2022,2018,20190763,1024,30026,BAY GAS STORAGE CO. LTD.,Intra,AL,Alabama,WASHINGTON,Bay Gas Storage,BGS #1,1994,Salt Cavern,BGS-1,3110,4955,4012,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,,INITIAL,1/17/2019,1/17/2019
3/1/2022,2018,20190763,1024,30026,BAY GAS STORAGE CO. LTD.,Intra,AL,Alabama,WASHINGTON,Bay Gas Storage,BGS #2,2003,Salt Cavern,BGS-2,3115,4895,4014,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,,INITIAL,1/17/2019,1/17/2019
3/1/2022,2018,20190763,1024,30026,BAY GAS STORAGE CO. LTD.,Intra,AL,Alabama,WASHINGTON,Bay Gas Storage,BGS #3,2008,Salt Cavern,BGS-3,3088,4849,3978,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,,INITIAL,1/17/2019,1/17/2019
3/1/2022,2018,20190763,1024,30026,BAY GAS STORAGE CO. LTD.,Intra,AL,Alabama,WASHINGTON,Bay Gas Storage,BGS #4,2010,Salt Cavern,BGS-4,3105,4979,3999,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,,INITIAL,1/17/2019,1/17/2019
3/1/2022,2018,20190763,1024,30026,BAY GAS STORAGE CO. LTD.,Intra,AL,Alabama,WASHINGTON,Bay Gas Storage,BGS #5,2014,Salt Cavern,BGS-5,3105,5017,4000,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,,INITIAL,1/17/2019,1/17/2019
3/1/2022,2018,20190010,1084,30028,"EGAN HUB STORAGE, LLC (SPECTRA ENERGY PARTNERS, LP)",Inter,LA,Louisiana,ACADIA,Egan,Louann Salt,1995,Salt Cavern,Cavern 3,3100,5500,3700,4,0,0,0,4,0,0,4,0,0,,0,0,0,0,1,3,4,Inventory Verification and Hysteresis Curve Analyses,INITIAL,2/25/2019,2/25/2019
3/1/2022,2018,20190066,1179,30786,LEE 8 STORAGE PARTNERSHIP,Intra,MI,Michigan,CALHOUN,Lee 8,Lee 8,1994,Hydrocarbon Reservoir,Lee #1,1783,3400,3280,4,4,0,0,0,0,0,2,2,0,,0,0,0,0,0,0,0,,INITIAL,3/13/2019,3/13/2019
3/1/2022,2018,20190008,1082,30963,"SALTVILLE GAS STORAGE COMPANY, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Inter,VA,Virginia,WASHINGTON,Early Grove,Price/Little Valley,1995,Hydrocarbon Reservoir,EH-57,2000,3725,2800,20,7,0,0,0,0,0,20,0,0,,0,0,0,0,0,10,27,Inventory Verification and Hysteresis Curve Analyses,INITIAL,2/25/2019,2/25/2019
