DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2018,20190038,907,1209,COLUMBIA GAS OF MASSACHUSETTS,1926,LAWRENCE LNG,89350,4001,MA,,In Service,1/1/1972,0,2,19,Truck,Intrastate,5,3589,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/11/2019,3/11/2019
03/01/22,2018,20190038,907,1209,COLUMBIA GAS OF MASSACHUSETTS,1927,EASTON LNG,89349,1002,MA,,In Service,5/16/1972,0,3,50,Truck,Intrastate,1,223000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/11/2019,3/11/2019
03/01/22,2018,20190038,907,1209,COLUMBIA GAS OF MASSACHUSETTS,1928,LUDLOW LNG,89351,,MA,,In Service,8/15/1973,8,3,48,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/11/2019,3/11/2019
03/01/22,2018,20190023,892,1344,BERKSHIRE GAS CO,1878,WHATELY LNG PLANT,89353,WHATELY LNG,MA,01201,In Service,1/15/2000,3,1,3,Truck,Intrastate,2,3334,Satellite,,Storage w/o Liquefaction,,INITIAL,3/1/2019,3/1/2019
03/01/22,2018,20190528,863,1640,BOSTON GAS CO,1808,LYNN LNG PLANT,89355,,MA,01901,In Service,1/1/1972,0,4,116,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190528,863,1640,BOSTON GAS CO,1809,SALEM LNG PLANT,89356,,MA,01970,In Service,1/1/1972,0,2,30,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190528,863,1640,BOSTON GAS CO,1810,COMMERCIAL POINT DORCHESTER-MA,89354,,MA,02122,In Service,1/1/1969,0,3,187.2,Truck,Intrastate,1,331000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190523,858,1800,KEYSPAN ENERGY DELIVERY - NY CITY,1806,LNG PLANT GREENPOINT,89357,,NY,11211,In Service,1/1/1968,8.5,6,300,Liquefaction,Intrastate,2,465000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190529,864,2066,CAPE COD GAS CO (DIV OF COLONIAL GAS CO),1811,LNG PLANT WAREHAM-MA,89359,,MA,02571,In Service,1/1/1974,0,2,4.3,Truck,Intrastate,2,2450,Satellite,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190529,864,2066,CAPE COD GAS CO (DIV OF COLONIAL GAS CO),1812,LNG PLANT SOUTH YARMOUTH-MA,89358,,MA,02664,In Service,1/1/1975,0,4,26.4,Truck,Intrastate,1,50000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190521,939,2288,CHATTANOOGA GAS CO,1962,CHATTANOOGA,44972,,TN,37421,In Service,10/6/1972,10,2,120,Liquefaction,Interstate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,SUPPLEMENTAL,2/11/2019,4/15/2019
03/01/22,2018,20190058,931,2616,"COLUMBIA GAS TRANSMISSION, LLC",1944,CHESAPEAKE LNG,8051,CHES_LNG,VA,23323,In Service,3/27/1972,5,3,120,Liquefaction,Interstate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/14/2019,3/14/2019
03/01/22,2018,20190001,868,2700,CONNECTICUT NATURAL GAS CORP,1868,"Rocky Hill, CT",87403,,CT,06067,In Service,7/11/1972,6,2,115,Liquefaction,Intrastate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/18/2019,2/18/2019
03/01/22,2018,20190508,843,2704,CONSOLIDATED EDISON CO OF NEW YORK,1779,ASTORIA,89360,32,NY,11105,In Service,6/1/1974,5,5,240,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,1/7/2019,1/7/2019
03/01/22,2018,20190021,890,3240,DELMARVA POWER & LIGHT COMPANY,1887,DELMARVA POWER & LIGHT LNG PLANT,89361,,DE,19801,In Service,9/18/1971,1.5,2,50,Liquefaction,Intrastate,1,72500,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/1/2019,3/1/2019
03/01/22,2018,20190047,919,3411,DISTRIGAS OF MASSACHUSETTS LLC,1940,EVERETT MARINE TERMINAL,251,29,MA,02149,In Service,11/20/1971,0,12,715,Ship/Barge,Interstate,2,974000,Base Load,,Marine Terminal - Import,,INITIAL,3/12/2019,3/12/2019
03/01/22,2018,20190049,922,4070,"EAST TENNESSEE NATURAL GAS, LLC (SPECTRA ENERGY PARTNERS, LP)",1942,Kingsport LNG Plant,6592,,TN,37663,In Service,11/1/1975,6,3,150,Liquefaction,Interstate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,SUPPLEMENTAL,3/13/2019,3/13/2019
03/01/22,2018,20190005,873,4350,ELIZABETHTOWN GAS CO,1876,ERIE ST PLANT,89362,,NJ,07206,In Service,6/1/1971,0,3,30,Truck,Intrastate,1,45000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/20/2019,2/20/2019
03/01/22,2018,20190527,862,4547,ESSEX COUNTY GAS CO,1790,LNG PLANT HAVERHILL-MA,89363,,MA,01830,In Service,1/1/1972,0,2,38,Truck,Intrastate,1,116000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190012,881,5200,FITCHBURG GAS & ELECTRIC LIGHT CO,1882,WESTMINSTER LNG FACILITY,89364,#1,MA,01473,In Service,6/27/1974,0,2,7,Truck,Intrastate,1,1310,Satellite,,Storage w/o Liquefaction,,INITIAL,2/22/2019,2/22/2019
03/01/22,2018,20190532,867,6243,HAWAII GAS,1853,Hawaii Gas LNG Transfer System,89504,,HI,96707,In Service,6/30/2018,0,2,3.93,Truck,Intrastate,0,0,Base Load,,Other,ISO Tank Containers /w No Liquefaction,INITIAL,2/14/2019,2/14/2019
03/01/22,2018,20190037,906,6790,GREENVILLE UTILITIES COMMISSION,1924,LNG PLANT,88489,AQUA LANE,NC,27834,In Service,12/28/1997,0,2,24,Truck,Intrastate,6,7143,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/11/2019,3/11/2019
03/01/22,2018,20190531,866,7330,"HOLYOKE GAS & ELECTRIC DEPT, CITY OF",1866,MUELLER RD CONTROL CENTER,89365,31,MA,01040,In Service,1/1/1971,0,1,18,Truck,Intrastate,4,5200,Satellite,,Storage w/o Liquefaction,,INITIAL,2/14/2019,2/14/2019
03/01/22,2018,20190010,878,7351,HOPKINTON LNG CO,1785,ACUSHNET LNG,90404,ACUSHNET LNG,MA,02743,In Service,9/17/1971,0,3,30,Truck,Intrastate,2,145000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/21/2019,2/21/2019
03/01/22,2018,20190010,878,7351,HOPKINTON LNG CO,1786,HOPKINTON LNG,48351,HOPKINTON LNG,MA,01748,In Service,8/9/1971,17,4,240,Liquefaction,Interstate,3,870000,Peak Shaving,,Storage w/ Both,,INITIAL,2/21/2019,2/21/2019
03/01/22,2018,20190016,973,8160,INTERMOUNTAIN GAS CO,2047,NAMPA LNG PLANT,88929,,ID,83687,In Service,12/15/1974,4,3,60,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,SUPPLEMENTAL,2/26/2019,2/11/2020
03/01/22,2018,20190016,973,8160,INTERMOUNTAIN GAS CO,2048,REXBURG SATELLITE LNG FACILITY,88929,REXBURG LNG,ID,83440,In Service,11/15/2006,0,1,19,Truck,Intrastate,1,1666,Satellite,,Storage w/o Liquefaction,,SUPPLEMENTAL,2/26/2019,2/11/2020
03/01/22,2018,20190524,859,11713,KEYSPAN ENERGY DELIVERY - LONG ISLAND,1807,HOLTSVILLE LNG,89366,,NY,11742,In Service,1/1/1971,6,3,100,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1791,LNG PLANT WESTFORD-MA,89368,,MA,01886,Retired,1/1/1972,0,0,0,Truck,Intrastate,0,0,Satellite,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1792,Portable vaporizer 26-19606,89369,,MA,01854,In Service,1/1/1970,0,1,0.624,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1793,Portable vaporizer 30-20077,89369,,MA,01854,In Service,1/1/1972,0,1,0.72,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1794,Portable vaporizer 60-18858,89369,,MA,01854,In Service,6/1/1969,0,1,1.44,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1795,Portable vaporizer 90-18850,89369,,MA,01854,In Service,4/1/2007,0,1,2.16,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1796,Portable vaporizer 200-19521,89369,,MA,01854,In Service,12/1/1992,0,1,4.8,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1797,Portable vaporizer 200-18859,89369,,MA,01854,In Service,11/1/1995,0,1,4.8,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1798,Portable vaporizer 250-20113,89369,,MA,01854,In Service,6/1/1974,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1799,Portable vaporizer 250-20114,89369,,MA,01854,In Service,6/1/1974,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1800,Portable vaporizer 250-Fontaine,89369,,MA,01854,In Service,3/1/1990,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1801,Portable vaporizer 250-Transcraft,89369,,MA,01854,In Service,3/1/1990,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190526,861,11856,COLONIAL GAS CO - LOWELL DIV,1802,LNG PLANT TEWKSBURY-MA,89367,,MA,01876,In Service,1/1/1969,0,4,80,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,2/12/2019,2/12/2019
03/01/22,2018,20190018,887,12342,MEMPHIS LIGHT GAS & WATER DIVISION,1896,CAPLEVILLE LNG,89371,45,TN,38118,In Service,6/1/1997,5,3,150,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/28/2019,2/28/2019
03/01/22,2018,20190018,887,12342,MEMPHIS LIGHT GAS & WATER DIVISION,1897,ARLINGTON LNG,89370,44,TN,38002,Retired,4/21/1967,0,0,0,Liquefaction,Intrastate,0,0,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/28/2019,2/28/2019
03/01/22,2018,20190028,897,12350,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",1911,Ambient Portable,86164,,MN,55337,In Service,1/1/1979,0,1,1,Truck,Intrastate,0,0,Mobile/Temporary,,Storage w/ Liquefaction,,INITIAL,3/7/2019,3/7/2019
03/01/22,2018,20190028,897,12350,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",1912,DAKOTA STATION,86164,27,MN,55337,In Service,1/1/1975,6,2,72,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/7/2019,3/7/2019
03/01/22,2018,20190028,897,12350,"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",1913,Waterbath Portable,86164,,TX,77090,In Service,1/1/1989,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Storage w/ Liquefaction,,INITIAL,3/7/2019,3/7/2019
03/01/22,2018,20190510,935,12390,METROPOLITAN UTILITIES DISTRICT,1951,LIQUEFIED NATURAL GAS PLANT,89372,1,NE,68106,In Service,11/21/1975,6,2,60,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,SUPPLEMENTAL,1/14/2019,3/28/2019
03/01/22,2018,20190053,926,12444,MIDDLEBOROUGH GAS & ELECTRIC DEPT,1943,VINE STREET LNG PLANT,89373,LNG1,MA,02346,In Service,11/24/1970,0,3,1.4,Truck,Intrastate,1,684,Satellite,,Storage w/o Liquefaction,,INITIAL,3/14/2019,3/14/2019
03/01/22,2018,20190024,893,13299,NEW JERSEY NATURAL GAS CO,1903,MANAHAWKIN LNG PLANT,89375,,NJ,08050,In Service,11/1/1972,0,1,24,Truck,Intrastate,1,30000,Satellite,,Storage w/o Liquefaction,,INITIAL,3/4/2019,3/4/2019
03/01/22,2018,20190024,893,13299,NEW JERSEY NATURAL GAS CO,1904,HOWELL LNG PLANT,89374,,NJ,07731,In Service,11/1/1973,10,4,150,Liquefaction,Intrastate,2,234000,Satellite,,Storage w/ Liquefaction,,INITIAL,3/4/2019,3/4/2019
03/01/22,2018,20190525,1167,13480,NIAGARA MOHAWK POWER CORP,2821,Exeter,90403,,RI,02822,In Service,11/12/1972,0,2,24,Truck,Intrastate,1,55000,Peak Shaving,,Storage w/o Liquefaction,,SUPPLEMENTAL,2/12/2019,6/23/2021
03/01/22,2018,20190525,1167,13480,NIAGARA MOHAWK POWER CORP,2822,Cumberland,90402,,RI,02864,In Service,1/1/1976,0,2,36,Truck,Intrastate,0,0,Other,Peak shaving plant wo storage capacity,Other,Vapor'n of LNG-del by truck. Tank removd,SUPPLEMENTAL,2/12/2019,6/23/2021
03/01/22,2018,20190525,1167,13480,NIAGARA MOHAWK POWER CORP,2823,Providence LNG Plant,49011,,RI,02905,In Service,5/1/1974,0,3,150,Truck,Interstate,1,600000,Peak Shaving,,Storage w/o Liquefaction,,SUPPLEMENTAL,2/12/2019,6/23/2021
03/01/22,2018,20190057,930,13730,NORTHERN INDIANA PUBLIC SERVICE CO,1931,LAPORTE LNG PLANT,89378,1,IN,46371,In Service,9/1/1974,12,4,400,Liquefaction,Intrastate,2,1160000,Peak Shaving,,Storage w/ Both,,INITIAL,3/14/2019,3/14/2019
03/01/22,2018,20190057,930,13730,NORTHERN INDIANA PUBLIC SERVICE CO,1932,KOKOMO LNG PLANT,89377,,IN,46902,Retired,5/1/1973,1,2,30,Liquefaction,Intrastate,1,116000,Peak Shaving,,Storage w/ Both,,INITIAL,3/14/2019,3/14/2019
03/01/22,2018,20190031,943,13750,NORTHERN NATURAL GAS CO,1965,WRENSHALL LNG #1 PLANT,4653,2,MN,55797,In Service,7/15/1975,12,3,300,Liquefaction,Interstate,1,630000,Peak Shaving,,Storage w/ Both,,SUPPLEMENTAL,3/7/2019,5/16/2019
03/01/22,2018,20190031,943,13750,NORTHERN NATURAL GAS CO,1966,GARNER LNG PLANT,9173,1,IA,50438,In Service,8/15/1978,11,3,300,Liquefaction,Interstate,1,630000,Peak Shaving,,Storage w/ Both,,SUPPLEMENTAL,3/7/2019,5/16/2019
03/01/22,2018,20190052,925,13783,NORTHERN STATES POWER CO OF WISCONSIN,1920,EAU CLAIRE,89379,2851,WI,,In Service,10/15/1969,2,2,750,Liquefaction,Intrastate,1,78000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/13/2019,3/13/2019
03/01/22,2018,20190052,925,13783,NORTHERN STATES POWER CO OF WISCONSIN,1921,LA CROSSE,89380,2861,WI,,Abandoned,10/15/1969,0,0,0,Truck,Intrastate,1,37000,Satellite,,Storage w/o Liquefaction,,INITIAL,3/13/2019,3/13/2019
03/01/22,2018,20190013,882,13795,NORTHERN UTILITIES INC (ME),1883,LEWISTON LNG PLANT,89381,1,ME,04240,In Service,11/3/1971,0,3,34,Truck,Intrastate,3,3536,Satellite,,Storage w/o Liquefaction,,INITIAL,2/22/2019,2/22/2019
03/01/22,2018,20190036,905,13840,NORTHWEST NATURAL GAS CO,1818,NEWPORT LNG PLANT,89181,NEWPORT,OR,97365,In Service,1/1/1977,6,2,100,Liquefaction,Intrastate,1,300000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/11/2019,3/11/2019
03/01/22,2018,20190036,905,13840,NORTHWEST NATURAL GAS CO,1819,GASCO LNG PLANT,89182,GASCO,OR,97210,In Service,1/1/1969,2,3,120,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/11/2019,3/11/2019
03/01/22,2018,20190042,911,13860,"NORWICH DEPT OF PUBLIC UTILITIES, CITY OF",1933,INDUSTRIAL PARK LNG PLANT REGULATING STATION # 9,87405,GPEAKINGPLANTS,CT,06360,In Service,1/1/1974,0,2,7,Truck,Intrastate,1,1191,Satellite,,Storage w/o Liquefaction,,INITIAL,3/12/2019,3/12/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1822,VAP-107,86282,,CA,95991,In Service,7/2/2012,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1823,LNG-96-96,86282,,CA,95991,In Service,6/27/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1824,LNG-97-96,86282,,CA,95991,In Service,6/27/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1825,LNG-98-96,86282,,CA,95991,In Service,10/18/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1826,LNG-99-96,86282,,CA,95991,In Service,11/14/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1827,LNG-95-96,86282,,CA,95991,In Service,6/17/2014,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1828,LNG-94-96,86282,,CA,95991,In Service,6/17/2014,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1829,LNG-93-96,86282,,CA,95991,In Service,3/20/2014,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1830,LAHX-1002,86282,,CA,95991,In Service,5/16/2014,0,4,1,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1831,LNG-92-200,86282,,CA,95991,In Service,7/15/2012,0,0,0,Truck,Intrastate,1,202,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1832,LNG-91-200,86282,,CA,95991,In Service,7/13/2012,0,0,0,Truck,Intrastate,1,202,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1833,Vap-101,86282,,CA,95991,In Service,11/8/2011,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1834,Vap-106,86282,,CA,95991,In Service,12/21/2011,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1835,Vap-105,86282,,CA,95991,In Service,11/10/2011,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1836,LNG-91-70,86282,,CA,95991,In Service,5/8/2008,0,0,0,Truck,Intrastate,1,278,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1837,LNG-91-100,86282,,CA,95991,In Service,5/21/2004,0,0,0,Truck,Intrastate,1,267,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1838,LNG-91-150,86282,,CA,95991,In Service,5/21/2004,0,0,0,Truck,Intrastate,1,246,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1839,LNG-ORCA1,86282,,CA,95991,In Service,2/3/2006,0,0,0,Truck,Intrastate,1,73,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
03/01/22,2018,20190015,884,15007,PACIFIC GAS & ELECTRIC CO,1840,LNG-91-96,86282,,CA,95991,In Service,6/10/2013,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,2/25/2019,2/25/2019
