DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2020,20210082,1158,180,SPIRE ALABAMA INC.,2645,EAST LAUDERDALE LNG FACILITY,89342,ELA-LNG-03,AL,35645,In Service,12/15/1995,0,4,2.988,Truck,Intrastate,2,1667,Satellite,,Storage w/o Liquefaction,,INITIAL,3/15/2021,3/15/2021
03/01/22,2020,20210082,1158,180,SPIRE ALABAMA INC.,2646,COOSADA LNG FACILITY,89340,MO-LNG-01,AL,36020,In Service,10/16/1972,2,3,80,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/15/2021,3/15/2021
03/01/22,2020,20210082,1158,180,SPIRE ALABAMA INC.,2647,PINSON LNG FACILITY,89343,BG-LNG-01,AL,35215,In Service,10/15/1965,12,5,120,Liquefaction,Intrastate,2,350000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/15/2021,3/15/2021
03/01/22,2020,20210082,1158,180,SPIRE ALABAMA INC.,2648,DOUBLE SPRINGS LNG FACILITY,89341,,AL,35553,In Service,12/15/1995,0,2,0.768,Truck,Intrastate,1,357,Satellite,,Storage w/o Liquefaction,,INITIAL,3/15/2021,3/15/2021
03/01/22,2020,20210009,1081,792,ATLANTA GAS LIGHT CO,2483,CHEROKEE,89344,362,GA,30107,In Service,7/31/1988,10,6,624,Liquefaction,Intrastate,1,600000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/3/2021,2/3/2021
03/01/22,2020,20210009,1081,792,ATLANTA GAS LIGHT CO,2484,MACON,89345,1078,GA,31210,In Service,10/1/1977,10,2,150,Liquefaction,Intrastate,1,450000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/3/2021,2/3/2021
03/01/22,2020,20210009,1081,792,ATLANTA GAS LIGHT CO,2485,RIVERDALE,89346,1069,GA,30274,In Service,6/28/1972,10,7,400,Liquefaction,Intrastate,2,740000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/3/2021,2/3/2021
03/01/22,2020,20210059,1133,1088,BALTIMORE GAS AND ELECTRIC COMPANY,2649,SPRING GARDENS,89348,100402,MD,21230,In Service,3/1/1971,5.75,4,312,Liquefaction,Intrastate,3,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/10/2021,3/10/2021
03/01/22,2020,20210076,1152,1344,BERKSHIRE GAS CO,2737,WHATELY LNG PLANT,89353,WHATELY LNG,MA,01201,In Service,1/15/2000,0,2,3,Truck,Intrastate,2,3334,Satellite,,Storage w/o Liquefaction,,INITIAL,3/14/2021,3/14/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2568,LYNN LNG PLANT,89355,LNG_PLNT_MA_LNN,MA,01901,In Service,1/1/1972,0,4,116,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2569,SALEM LNG PLANT,89356,LNG_PLNT_MA_SAL,MA,01970,In Service,1/1/1972,0,2,30,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2570,COMMERCIAL POINT DORCHESTER-MA,89354,LNG_PLNT_MA_DOR,MA,02122,In Service,1/1/1969,0,3,187.2,Truck,Intrastate,1,331000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2574,LNG PLANT HAVERHILL- MA,89363,LNG_PLNT_MA_HAV,MA,01830,In Service,1/1/1972,0,2,38,Truck,Intrastate,1,116000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2575,LNG PLANT WAREHAM-MA,89359,LNG_PLNT_MA_WHM,MA,02571,In Service,1/1/1974,0,2,4.3,Truck,Intrastate,2,2450,Satellite,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2576,LNG PLANT SOUTH YARMOUTH-MA,89358,LNG_PLNT_MA_SYA,MA,02664,In Service,1/1/1975,0,4,26.4,Truck,Intrastate,1,50000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2577,LNG PLANT TEWKSBURY-MA,89367,LNG_PLNT_MA_TEW,MA,01876,In Service,1/1/1969,0,4,80,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2578,Portable vaporizer 26-19606,89369,PV_26_19606,MA,01854,In Service,1/1/1970,0,1,0.624,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2579,Portable vaporizer 30-20077,89369,PV_30_20077,MA,01854,In Service,1/1/1972,0,1,0.72,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2580,Portable vaporizer 60-18858,89369,PV_60_18858,MA,01854,In Service,6/1/1969,0,1,1.44,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2581,Portable vaporizer 90-18850,89369,PV_90_18850,MA,01854,In Service,4/1/2007,0,1,2.16,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2582,Portable vaporizer 200-19521,89369,PV_200_19521,MA,01854,In Service,12/1/1992,0,1,4.8,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2583,Portable vaporizer 200-18859,89369,PV_200_18859,MA,01854,In Service,11/1/1995,0,1,4.8,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2584,Portable vaporizer 250-20113,89369,PV_250_20113,MA,01854,In Service,6/1/1974,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2585,Portable vaporizer 250-20114,89369,PV_250_20114,MA,01854,In Service,6/1/1974,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2586,Portable vaporizer 250-Fontaine,89369,PV_250_Fontaine,MA,01854,In Service,3/1/1990,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2587,Portable vaporizer 250-Transcraft,89369,PV_250_TRNSCRFT,MA,01854,In Service,3/1/1990,0,1,6,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2588,Portable vaporizer Ambient 120-1,89369,PV_120_1_AMB,MA,01854,In Service,4/1/2019,0,1,2.88,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210051,1125,1640,BOSTON GAS CO,2589,Portable vaporizer Ambient 120-2,89369,PV_120_2_AMB,MA,01854,In Service,4/1/2019,0,1,2.88,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Supplement a gas distribution system,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210048,1122,1800,KEYSPAN ENERGY DELIVERY - NY CITY,2441,LNG PLANT GREENPOINT,89357,LNG68161,NY,11211,In Service,1/1/1968,8.5,6,300,Liquefaction,Intrastate,2,465000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210010,1082,2288,CHATTANOOGA GAS CO,2486,CHATTANOOGA,44972,,TN,37421,In Service,10/6/1972,10,2,120,Liquefaction,Interstate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/3/2021,2/3/2021
03/01/22,2020,20210052,1126,2616,"COLUMBIA GAS TRANSMISSION, LLC",2571,CHESAPEAKE LNG,8051,CHES_LNG,VA,23323,In Service,3/27/1972,5,3,120,Liquefaction,Interstate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/9/2021,3/9/2021
03/01/22,2020,20210036,1110,2700,CONNECTICUT NATURAL GAS CORP,2641,"Rocky Hill, CT",87403,,CT,06067,In Service,7/11/1972,6,2,115,Liquefaction,Intrastate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/1/2021,3/1/2021
03/01/22,2020,20210001,1072,2704,CONSOLIDATED EDISON CO OF NEW YORK,2341,ASTORIA,89360,32,NY,11105,In Service,6/1/1974,5,5,240,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,1/4/2021,1/4/2021
03/01/22,2020,20210047,1121,3240,DELMARVA POWER & LIGHT COMPANY,2653,DELMARVA POWER & LIGHT LNG PLANT,89361,,DE,19801,In Service,9/18/1971,1.5,2,50,Liquefaction,Intrastate,1,72500,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/8/2021,3/8/2021
03/01/22,2020,20210063,1137,3411,DISTRIGAS OF MASSACHUSETTS LLC,2724,EVERETT MARINE TERMINAL,251,29,MA,02149,In Service,11/20/1971,0,12,715,Ship/Barge,Interstate,2,974000,Base Load,,Marine Terminal - Import,,INITIAL,3/11/2021,3/11/2021
03/01/22,2020,20210030,1104,4070,"EAST TENNESSEE NATURAL GAS, LLC (SPECTRA ENERGY PARTNERS, LP)",2597,Kingsport LNG Plant,6592,,TN,37663,In Service,11/1/1975,6,3,150,Liquefaction,Interstate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/26/2021,2/26/2021
