DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2017,20180485,811,13750,NORTHERN NATURAL GAS CO,1710,GARNER LNG PLANT,9173,1,IA,50438,In Service,8/15/1978,11,3,300,Liquefaction,Interstate,1,630000,Peak Shaving,,Storage w/ Both,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180488,814,13783,NORTHERN STATES POWER CO OF WISCONSIN,1716,EAU CLAIRE,89379,2851,WI,,In Service,10/15/1969,2,2,24,Liquefaction,Intrastate,1,78000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180488,814,13783,NORTHERN STATES POWER CO OF WISCONSIN,1717,LA CROSSE,89380,2861,WI,,Abandoned,10/15/1969,0,0,0,Truck,Intrastate,1,37000,Satellite,,Storage w/o Liquefaction,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180442,767,13795,NORTHERN UTILITIES INC (ME),1601,LEWISTON LNG PLANT,89381,1,ME,04240,In Service,11/3/1971,0,3,34,Truck,Intrastate,3,3536,Satellite,,Storage w/o Liquefaction,,INITIAL,2/12/2018,2/12/2018
03/01/22,2017,20180490,818,13840,NORTHWEST NATURAL GAS CO,1697,NEWPORT LNG PLANT,,NEWPORT,OR,97365,In Service,1/1/1977,6,2,100,Liquefaction,Intrastate,1,300000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180490,818,13840,NORTHWEST NATURAL GAS CO,1698,GASCO LNG PLANT,,GASCO,OR,97210,In Service,1/1/1969,2,3,120,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/12/2018,3/12/2018
03/01/22,2017,20180468,794,13860,"NORWICH DEPT OF PUBLIC UTILITIES, CITY OF",1702,INDUSTRIAL PARK LNG PLANT REGULATING STATION # 9,87405,GPEAKINGPLANTS,CT,06360,In Service,1/1/1974,0,2,7,Truck,Intrastate,1,1191,Satellite,,Storage w/o Liquefaction,,INITIAL,3/2/2018,3/2/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1651,LNG-101-96,86282,,CA,95991,In Service,11/2/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1652,LNG-100-96,86282,,CA,95991,In Service,11/30/2016,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1653,LAHX-1001,86282,,CA,95991,In Service,9/6/2013,0,4,1,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
